0-6870 press up
670 steer 1680
680 steer 9289
690 steer 25076
700 steer 36739
710 steer 25076
720 steer 21592
730 steer 3600
740 steer 0
1540 steer 3031
1550 steer 8507
1560 steer 29770
1570 steer 43993
1580 steer 38730
1590 steer 35974
1600 steer 6231
1610 steer 0
2100 steer -13409
2110 steer -24788
2120 steer -27490
2130 steer -23010
2140 steer -15472
2150 steer 0
3950 steer -2031
3960 steer -5871
3970 steer -24503
3980 steer -39224
3990 steer -58638
4000 steer -65536
4020 steer -50531
4030 steer -28201
4040 steer -5871
4050 steer 0
4640 steer 13717
4650 steer 14907
4660 steer 35601
4670 steer 54944
4680 steer 63691
4690 steer 65536
4710 steer 52714
4720 steer 36312
4730 steer 31567
4740 steer 0
4900 steer -3115
4910 steer -17818
4920 steer -32752
4930 steer -53944
4940 steer -64398
4950 steer -65536
4990 steer -61624
5000 steer -42281
5010 steer -20876
5020 steer -6156
5030 steer -1235
5030-5140 press down
