0-7190 press up
240 steer -1818
260 steer -3525
270 steer -4663
300 steer -5231
330 steer -6369
350 steer -9214
370 steer -10920
380 steer -11489
390 steer -12627
400 steer -13196
640 steer -14334
650 steer -14903
660 steer -16041
690 steer -16610
700 steer -17747
720 steer -18316
740 steer -19454
880 steer -17747
910 steer -11489
930 steer -4663
940 steer 0
1210 steer 8325
1220 steer 14681
1240 steer 20461
1260 steer 22772
1270 steer 25661
1280 steer 27394
1300 steer 25661
1310 steer 25083
1320 steer 21616
1330 steer 18150
1340 steer 15258
1350 steer 13525
1360 steer 8903
1370 steer 7747
1380 steer 5436
1390 steer 2545
1400 steer 811
1410 steer 0
1610 steer 1389
1620 steer 3700
1630 steer 6014
1640 steer 7747
1660 steer 6014
1670 steer 5436
1680 steer 4278
1690 steer 2545
1700 steer 1389
1720 steer 811
1750 steer 0
1990 steer 811
2000 steer 2545
2010 steer 3122
2020 steer 3700
2030 steer 6591
2040 steer 8903
2050 steer 11214
2060 steer 13525
2070 steer 16994
2080 steer 15258
2110 steer 10636
2120 steer 811
2130 steer 0
2480 steer 811
2510 steer 1389
2530 steer 2545
2540 steer 1389
2550 steer 811
2630 steer 3122
2640 steer 3700
2650 steer 6014
2660 steer 8325
2670 steer 13525
2680 steer 15258
2690 steer 16994
2700 steer 19305
2720 steer 16994
2740 steer 14681
2750 steer 6591
2760 steer 2545
2770 steer 811
2780 steer 0
3030 steer 5436
3050 steer 12369
3060 steer 16994
3080 steer 15258
3100 steer 14681
3120 steer 12369
3150 steer 14103
3160 steer 14681
3170 steer 17572
3180 steer 18150
3200 steer 16414
3210 steer 11214
3220 steer 6591
3230 steer 2545
3240 steer 811
3250 steer 0
3310 steer 811
3320 steer 2545
3330 steer 6014
3340 steer 8903
3350 steer 12369
3360 steer 15258
3390 steer 11792
3400 steer 1389
3410 steer 811
3420 steer 0
4310 steer 1389
4330 steer 8903
4340 steer 25083
4360 steer 33752
4370 steer 47622
4380 steer 53402
4390 steer 59180
4400 steer 63802
4410 steer 65536
4450 steer 55135
4460 steer 48199
4470 steer 42421
4480 steer 28550
4490 steer 20461
4500 steer 12369
4510 steer 5436
4520 steer 0
4650 steer -6369
4660 steer -14334
4670 steer -22299
4680 steer -38797
4690 steer -44486
4700 steer -50744
4710 steer -54157
4720 steer -58709
4730 steer -63260
4760 steer -55864
4770 steer -49037
4780 steer -26281
4790 steer 14681
4800 steer 0
6120 steer -1818
6140 steer 1386
6150 steer -17747
6170 steer -35383
6180 steer -65536
6370 steer -48468
6380 steer -29694
6390 steer -16610
6400 steer -16041
6420 steer -19454
6430 steer -34246
6440 steer -65536
6540 steer -27988
6560 steer 0
6570 steer 11214
6580 steer 17572
6590 steer 20461
6600 steer 19883
6610 steer 19305
6630 steer 18150
6640 steer 17572
6650 steer 16994
6660 steer 14681
6670 steer 10636
6680 steer 0
6720 steer -8076
6730 steer -10920
6740 steer -13196
6750 steer -16610
6760 steer -22299
6790 steer 746
6930 steer 8325
6940 steer 22772
6950 steer 42421
6960 steer 65536
