0-15490 press up
1090 steer -822
1100 steer -1462
1110 steer -2885
1130 steer -4236
1150 steer -4876
1160 steer -5374
1170 steer -5943
1180 steer -6440
1190 steer -6938
1200 steer -8147
1210 steer -9143
1220 steer -11063
1230 steer -12698
1240 steer -15116
1250 steer -16467
1260 steer -18032
1270 steer -18743
1280 steer -19810
1290 steer -20521
1300 steer -21445
1310 steer -21943
1320 steer -22370
1330 steer -22441
1340 steer -22583
1350 steer -22654
1360 steer -22725
1370 steer -22796
1420 steer -22939
1430 steer -23152
1440 steer -24361
1450 steer -26352
1460 steer -27134
1470 steer -29268
1480 steer -30192
1490 steer -31117
1500 steer -31472
1510 steer -31686
1520 steer -32041
1530 steer -32397
1540 steer -33108
1550 steer -33677
1560 steer -34103
1570 steer -34672
1580 steer -34886
1590 steer -35241
1600 steer -35952
1610 steer -36450
1620 steer -37304
1630 steer -37944
1640 steer -38086
1650 steer -38441
1660 steer -38655
1670 steer -38797
1690 steer -38939
1700 steer -39010
1710 steer -39152
1720 steer -39224
1730 steer -39295
1740 steer -39366
1750 steer -39437
1760 steer -39579
1770 steer -39864
1780 steer -41243
1790 steer -40290
1800 steer -40433
2080 steer -40575
2090 steer -41073
2100 steer -41499
2110 steer -42281
2120 steer -42708
2130 steer -42921
2220 steer -43277
2230 steer -43917
2240 steer -45908
2250 steer -48824
2260 steer -52024
2270 steer -57855
2280 steer -61269
2290 steer -65464
2300 steer -65536
2760 steer -3311
2770 steer -15187
2780 steer -41215
2790 steer -57784
2800 steer -65536
3120-3220 press down
3280 steer -59517
3290 steer -65536
3650 steer -58829
3660 steer -65536
3970 steer -56444
3980 steer -65536
4690 steer -59795
4700 steer -65536
4870 steer -49393
4880 steer -15614
4890 steer 0
4950 steer 12845
4960 steer 32259
4970 steer 61771
4980 steer 65536
5070 steer 64178
5080 steer 65536
5150 steer 55655
5160 steer 40935
5170 steer 39370
5180 steer 26143
5190 steer 8649
5200 steer 0
6220 steer 2249
6230 steer 4596
6240 steer 9858
6250 steer 15476
6260 steer 17894
6270 steer 18534
6310 steer 18605
6390 steer 18676
6400 steer 18747
6410 steer 18890
6420 steer 19174
6430 steer 19530
6440 steer 19601
6500 steer 19672
6520 steer 26285
6530 steer 38588
6540 steer 43424
6550 steer 45273
6560 steer 45770
6570 steer 46837
6580 steer 47975
6590 steer 47264
6600 steer 38659
6610 steer 23868
