0-9080 press up
530 steer 2676
540 steer 4880
550 steer 5805
560 steer 8578
570 steer -609
580 steer 9787
590 steer 9858
600 steer 9929
660 steer 9858
710 steer 9787
730 steer 9858
740 steer 9787
750 steer 9858
1010 steer -307
1020 steer 6729
1030 steer 1254
1040 steer 0
1190 steer 16155
1200 steer 8009
1210 steer 14054
1220 steer 15690
1230 steer 16614
1240 steer 17112
1260 steer 16827
1270 steer 15618
1280 steer 11138
1290 steer 6943
1300 steer 0
1550 steer 2178
1560 steer 5236
1570 steer 6729
1580 steer 11352
1590 steer 19386
1600 steer 13485
1610 steer 13627
1630 steer 13698
1640 steer 12561
1650 steer 11565
1660 steer 6871
1670 steer 3174
1680 steer 0
1930 steer 756
1940 steer 2178
2020 steer 685
2030 steer 0
2150 steer 2818
2160 steer 7867
2170 steer 13272
2180 steer 19743
2190 steer 22161
2200 steer 23299
2210 steer 23228
2220 steer 22374
2230 steer 17965
2240 steer 12987
2250 steer 6943
2260 steer 0
2860 steer -1107
2870 steer -6796
2880 steer -11063
2890 steer -13907
2900 steer -20226
2910 steer -7294
2920 steer 0
3430 steer 1325
3440 steer 7796
3450 steer 20027
3460 steer 24010
3470 steer 35388
3480 steer 36810
3490 steer 38872
3500 steer 44118
3510 steer 38588
3520 steer 32046
3530 steer 11707
3540 steer 7156
3550 steer -8457
3600 steer -4520
3610 steer -14903
3620 steer -28983
3630 steer -57510
3640 steer -65393
3650 steer -65536
3710 steer -63687
3720 steer -40504
3730 steer -24818
3740 steer 0
4090 steer -486
4100 steer 14267
4110 steer 22872
4120 steer 35317
4130 steer 41717
4140 steer 59314
4150 steer 51957
4160 steer 54589
4170 steer 57931
4180 steer 63107
4190 steer 61202
4200 steer 61558
4210 steer 62269
4220 steer 62695
4230 steer 62767
4240 steer 52889
4250 steer 62909
4260 steer 62838
4270 steer 62553
4280 steer 59993
4290 steer 45998
4300 steer 44775
4310 steer 34819
4320 steer 18392
4330 steer 9147
4340 steer 0
5290 steer 693
5300 steer 6642
5310 steer 23049
5320 steer 44135
5330 steer 50163
5340 steer 65536
6040 steer 59719
6050 steer 65536
6070 steer 63760
6080 steer 56651
6090 steer 39718
6100 steer 10263
6110 steer 12449
6120 steer -2507
6230 steer -7330
6240 steer -2507
6290 steer -7990
6300 steer -2507
6310 steer 7145
6320 steer -2507
6360 steer 5396
6370 steer -2507
6390 steer -9801
6400 steer -2507
6450 steer 1764
6460 steer -2507
6470 steer 4894
6480 steer -1050
6490 steer -2507
6550 steer -318
6560 steer 5282
6570 steer 3223
6580 steer -2507
6590 steer 4485
6600 steer 7286
6610 steer -2507
6730 steer -3540
6740 steer -2507
6760 steer 2416
6770 steer -2507
6940 steer -5538
6950 steer -2507
7140 steer -4152
7150 steer -2507
7580 steer -3737
7590 steer -2507
7660 steer -4752
7670 steer -2507
7840 steer 1125
7850 steer -2507
7940 steer -2819
7950 steer 1984
7960 steer -2507
8020 steer 1490
8030 steer -2507
8040 steer 932
8050 steer -2507
8080 steer -2833
8090 steer -2507
8100 steer -6678
8110 steer -2507
8250 steer -85
8260 steer -2507
8300 steer -11159
8310 steer -1237
8320 steer -2507
8390 steer -7690
8400 steer -2507
8510 steer -5150
8520 steer 1609
8530 steer 2676
8540 steer 6516
8550 steer 12774
8560 steer 17041
8570 steer 20739
8580 steer 25574
8590 steer 28632
8600 steer 32970
8610 steer 36526
8620 steer 42997
8630 steer 50322
8640 steer 57224
8650 steer 63691
8660 steer 65536
8720 steer 60796
8730 steer 65536
8760 steer 62184
8770 steer 65536
8840 steer 56132
8850 steer 64298
8860 steer 65536
8970-9100 press down
9060 steer 60462
9070 steer 65536
9100 steer 50078
9110 steer 65536
9120 steer 61321
9130 steer 65536
9150 steer 62506
9160 steer 60563
9170 steer 65536
9200 steer 65174
9210 steer 65536
9240 steer 56338
9250 steer 65536
9370 steer 61297
9380 steer 65536
9410 steer 65257
9420 steer 65536
9490 steer 62312
9500 steer 57048
9510 steer 59466
9520 steer 65536
9530 steer 57404
9540 steer 65536
9590 steer 61140
9600 steer 64622
9610 steer 65536
9620 steer 63260
9630 steer 65536
9670 steer 62776
9680 steer 65536
9710 steer 55798
9720 steer 56266
9720-11640 press up
9730 steer 65536
9780 steer 58188
9790 steer 65536
9840 steer 59789
9850 steer 65536
9880 steer 65428
9890 steer 65536
9900 steer 59830
9910 steer 65536
9950 steer 50664
9960 steer 65536
10000 steer 50862
10010 steer 60681
10020 steer 59618
10030 steer 65536
10040 steer 61830
10050 steer 65522
10060 steer 65536
10100 steer 60422
10110 steer 65536
10170 steer 62141
10180 steer 65536
10190 steer 61492
10200 steer 65536
10210 steer 59325
10220 steer 65536
10230 steer 60087
10240 steer 65536
10250 steer 53786
10260 steer 65536
10290 steer 56560
10300 steer 49869
10310 steer 65536
10320 steer 60798
10330 steer 65536
10360 steer 64536
10370 steer 59583
10380 steer 65536
10410 steer 60796
10420 steer 65536
10430 steer 65323
10440 steer 65536
10550 steer 60576
10560 steer 65536
10590 steer 61470
10600 steer 15618
10610 steer 65536
10620 steer 65115
10630 steer 65536
10660 steer 62572
10670 steer 63939
10680 steer 65536
10810 steer 61382
10820 steer 58107
10830 steer 65536
