0-9830 press up
230 steer -5303
240 steer -8432
250 steer -11134
260 steer -11063
270 steer -10992
280 steer -11063
310 steer -10992
320 steer -11063
340 steer -10992
370 steer -11063
400 steer -11134
420 steer -11063
430 steer -11134
440 steer -11063
480 steer -11134
540 steer -11063
550 steer -11134
570 steer -11205
580 steer -11134
620 steer -11063
640 steer -11134
680 steer -11205
760 steer -11134
780 steer -11205
890 steer -11134
900 steer -751
910 steer 0
990 steer 3600
1000 steer 9076
1010 steer 9858
1020 steer 3316
1030 steer 0
1160 steer 9574
1170 steer 11565
1180 steer 7938
1190 steer 0
1230 steer 10783
1240 steer 14765
1250 steer 12845
1260 steer 0
1310 steer 1609
1320 steer 6729
1330 steer 7156
1340 steer 5378
1350 steer 0
1410 steer 13414
1420 steer 19174
1430 steer 14267
1440 steer 0
1620 steer 685
1630 steer 1751
1650 steer 2818
1660 steer 4027
1730 steer 2605
1740 steer 0
1870 steer 3743
1880 steer 9076
1890 steer 9716
1900 steer 9645
1910 steer 10072
1920 steer 10996
1930 steer 11494
2010 steer 11423
2030 steer 11565
2040 steer 14978
2050 steer 23156
2060 steer 25361
2070 steer 25432
2170 steer 22943
2180 steer 5947
2190 steer 0
2240 steer 6160
2250 steer 15832
2260 steer 23583
2270 steer 25788
2290 steer 31974
2300 steer 41504
2310 steer 44064
2320 steer 43779
2330 steer 36739
2340 steer 21521
2350 steer 8436
2360 steer 7014
2370 steer 2036
2380 steer 0
2560 steer -16041
2570 steer -48895
2580 steer -65536
2890 steer -41215
2900 steer -16467
2910 steer -17321
2920 steer -35383
2930 steer -43277
2940 steer -44059
2950 steer -33037
2960 steer -3311
2970 steer 0
2990 steer -5160
3000 steer -27917
3010 steer -61126
3020 steer -65536
3040 steer -32823
3050 steer 0
3120 steer -1036
3130 steer -2316
3140 steer -6938
3150 steer -16538
3160 steer -26779
3170 steer -29481
3180 steer -29552
3200 steer -29623
3220 steer -29552
3230 steer -29623
3250 steer -29552
3260 steer -26921
3270 steer -10636
3280 steer 0
3340 steer -1320
3350 steer -4947
3360 steer -7934
3370 steer -12201
3380 steer -13054
3390 steer -13125
3410 steer -13267
3420 steer -13978
3440 steer -14049
3480 steer -13978
3490 steer -6440
3500 steer 0
3950 steer -2245
3960 steer -4236
3970 steer -11418
3980 steer -15543
3990 steer -15898
4000 steer -15827
4010 steer -15898
4030 steer -16396
4040 steer -16965
4050 steer -17036
4120 steer -17107
4170 steer -20876
4180 steer -25783
4190 steer -26779
4200 steer -26850
4220 steer -26779
4250 steer -26850
4260 steer -26779
4300 steer -26850
4400 steer -26779
4410 steer -26850
4420 steer -26779
4430 steer -26850
4460 steer -27419
4470 steer -28130
4480 steer -33463
4490 steer -38299
4500 steer -39081
4550 steer -39152
4580 steer -40859
4590 steer -42708
4600 steer -42850
4610 steer -43064
4630 steer -42993
4640 steer -43064
4650 steer -42993
4670 steer -44486
4680 steer -49108
4690 steer -50673
4760 steer -50886
4770 steer -51740
4780 steer -51811
4810 steer -51740
4820 steer -51811
4990 steer -51740
5000 steer -51811
5020 steer -51740
5030 steer -54869
5040 steer -65536
5570 steer -65464
5580 steer -15401
5590 steer 0
5610 steer -22534
5620 steer -55651
5630 steer -65536
6940 steer -42787
6950 steer -5374
6960 steer -6000
7030 steer -2529
7050 steer -4023
7060 steer -16965
7070 steer -22725
7080 steer -22939
7110 steer -22868
7120 steer -22939
7330 steer -23010
7340 steer -22939
7640 steer -22868
7650 steer -8787
7660 steer 0
8230 steer 969
8240 steer 6445
8250 steer 17041
8260 steer 24223
8270 steer 32757
8280 steer 35886
8290 steer 37450
8300 steer 37592
8310 steer 37521
8320 steer 37450
8330 steer 37166
8350 steer 37024
8360 steer 35886
8370 steer 34819
8380 steer 30837
8390 steer 15405
8400 steer 7227
8410 steer 0
8850 steer -4470
8860 steer 11352
8870 steer 19387
8880 steer 34890
8890 steer 46055
8900 steer 55229
8910 steer 65536
