0-5860 press up
830 steer 1467
850 steer 2320
860 steer 4738
870 steer 6231
880 steer 7440
890 steer 8863
900 steer 9432
910 steer 10072
920 steer 11636
930 steer 12134
940 steer 13272
950 steer 13627
960 steer 14267
970 steer 14978
980 steer 15192
990 steer 15690
1000 steer 16045
1010 steer 16187
1020 steer 16258
1030 steer 16330
1060 steer 16401
1100 steer 16330
1120 steer 20273
1130 steer 16401
1150 steer 16472
1190 steer 16543
1220 steer 16685
1240 steer 24138
1250 steer 17041
1270 steer 17112
1350 steer 17183
1390 steer 17254
1400 steer 17325
1410 steer 17396
1420 steer 17467
1430 steer 17538
1440 steer 17752
1460 steer 17894
1470 steer 17965
1490 steer 18036
1520 steer 18107
1530 steer 18321
1540 steer 18392
1550 steer 18605
1560 steer 10556
1570 steer 18747
1580 steer 18819
1660 steer 18890
1680 steer 18819
1690 steer 18534
1700 steer 16827
1710 steer 11138
1720 steer 3316
1730 steer 0
1810 steer 1151
1820 steer 0
1870 steer 7771
1880 steer 0
2060 steer -1462
2070 steer -2885
2080 steer -3951
2090 steer -4947
2100 steer -6938
2110 steer -9640
2120 steer -13623
2130 steer -16396
2140 steer -22085
2150 steer -23223
2160 steer -25783
2170 steer -27134
2180 steer -27490
2190 steer -28557
2200 steer -29126
2210 steer -29623
2220 steer -21232
2230 steer -14334
2240 steer -7792
2250 steer 0
2430 steer 4311
2440 steer 0
2530 steer -2671
2540 steer -5943
2550 steer -13267
2560 steer -18174
2570 steer -24076
2580 steer -27063
2590 steer -23934
2600 steer -17676
2610 steer -8503
2620 steer -2387
2630 steer 0
2760 steer -1246
2770 steer 0
2990 steer -680
3000 steer -6511
3010 steer -13054
3020 steer -26352
3030 steer -38228
3040 steer -42921
3050 steer -40148
3060 steer -25143
3070 steer -14761
3080 steer 6922
3090 steer 0
3180 steer -3674
3190 steer 0
3350 steer -1803
3360 steer 0
3430 steer -1107
3440 steer -8645
3450 steer -17747
3460 steer -30903
3470 steer -55651
3480 steer -60273
3490 steer -65536
3500 steer -63902
3510 steer -65536
3650 steer -61231
3660 steer -65536
3680 steer -65464
3690 steer -56331
3700 steer -33961
3710 steer -18956
3720 steer 0
3750 steer -7749
3760 steer 0
3830 steer 4596
3840 steer 13272
3850 steer 29201
3860 steer 45770
3870 steer 54731
3880 steer 61131
3890 steer 65536
3990 steer 64390
4000 steer 65536
4010 steer 59287
4020 steer 65536
4100 steer 60430
4110 steer 65536
4310 steer 56871
4320 steer 65536
4540 steer 62198
4550 steer 53166
4560 steer 31974
4570 steer 16756
4580 steer 0
4640 steer -2110
4650 steer 0
4690 steer 2439
4700 steer 0
4720 steer 8719
4730 steer 6356
4740 steer 0
4750 steer 2269
4760 steer -2282
4770 steer -764
4780 steer 65536
5230 steer 63945
5240 steer 65536
5400 steer 62061
5410 steer 65536
5800 steer 62555
5810 steer 65372
5820 steer 61122
5830 steer 50974
5840 steer 65420
5850 steer 65536
