0-8840 press up
1220 steer 685
1230 steer 4880
1240 steer 13627
1250 steer 20383
1260 steer 29770
1270 steer 34321
1280 steer 38304
1290 steer 39228
1300 steer 39157
1310 steer 35317
1320 steer 30339
1330 steer 16614
1340 steer 3102
1350 steer 0
2650 steer -3240
2660 steer -6725
2670 steer -11347
2680 steer -13552
2690 steer -13125
2700 steer -8716
2710 steer -3809
2720 steer 0
3160 steer 3174
3170 steer 6303
3180 steer 18392
3190 steer 27068
3200 steer 37735
3210 steer 42073
3220 steer 44562
3230 steer 37664
3240 steer 26570
3250 steer 9929
3260 steer -2921
3270 steer 0
3500 steer -4114
3510 steer 0
3530 steer -7080
3540 steer -16467
3550 steer -19667
3560 steer -28414
3570 steer -34530
3580 steer -36806
3590 steer -38655
3600 steer -39081
3610 steer -39935
3620 steer -41641
3630 steer -46193
3640 steer -60774
3650 steer -56149
3660 steer -62975
3670 steer -65536
3840 steer -58851
3850 steer -46335
3860 steer -30263
3870 steer -25001
3880 steer -5587
3890 steer -1320
3900 steer 1111
3910 steer 6516
3920 steer 25361
3930 steer 46624
3940 steer 58073
3950 steer 65536
4020 steer 60646
4030 steer 63549
4040 steer 47477
4050 steer 31690
4060 steer 7654
4070 steer -6942
4080 steer 0
4570 steer 6799
4580 steer 0
4930 steer 5725
4940 steer 4325
4950 steer 0
5040 steer 8233
5050 steer 0
5490 steer -8431
5500 steer 0
5510 steer -250
5520 steer 0
5660 steer 715
5670 steer 0
5780 steer 6231
5790 steer 12632
5800 steer 30908
5810 steer 53877
5820 steer 65536
5880 steer 59666
5890 steer 65536
6050-6340 press down
6100 steer 63504
6110 steer 65536
6260 steer 58103
6270 steer 65536
6320 steer 43850
6330 steer 0
6340 steer -54940
6350 steer -65536
6430 steer -46264
6440 steer 5449
6450 steer 45699
6460 steer 65536
6680 steer 63194
6690 steer 65536
6740 steer 58157
6750 steer 65536
7310 steer 59908
7320 steer 65536
7450 steer 60309
7460 steer 65536
7660 steer 64076
7670 steer 65536
7700 steer 60150
7710 steer 65536
7850 steer -6298
7860 steer -30406
7870 steer -51811
7880 steer -65251
7890 steer -65536
7900 steer -64611
7910 steer -47259
7920 steer -11063
7930 steer -822
7940 steer 0
7950 steer 65536
7960 steer -4449
7970 steer -19810
7980 steer -62549
7990 steer -65536
8000 steer 65536
8030 steer -61269
8040 steer -15330
8050 steer -965
8060 steer 0
8070 steer 7583
8080 steer -14761
8090 steer -38868
8100 steer -65536
8110 steer -1818
8120 steer -16538
8130 steer -36023
8140 steer -55437
8150 steer -35028
8160 steer 0
8170 steer -65536
8190 steer -2102
8200 steer -20236
8210 steer -35739
8220 steer -49535
8230 steer -50957
8240 steer -51384
8250 steer -48824
8260 steer -23792
8270 steer 0
8470 steer 1894
8480 steer 17965
8490 steer 26001
8500 steer 23370
8510 steer 7512
8520 steer 0
