0-5540 press up
350 steer 791
360 steer 1054
370 steer 1276
380 steer 1525
410 steer 1778
450 steer 2027
480 steer 2329
500 steer 2625
510 steer 3209
520 steer 3440
530 steer 3654
540 steer 3865
550 steer 4100
560 steer 4598
570 steer 4854
580 steer 5085
590 steer 5300
600 steer 5523
610 steer 5900
640 steer 6165
660 steer 6440
760 steer 6649
1490 steer 6456
1500 steer 6127
1510 steer 5938
1520 steer 5763
1530 steer 5578
1540 steer 5420
1550 steer 5085
1560 steer 4940
1570 steer 4709
1590 steer 4538
1620 steer 4369
1700 steer 4225
1720 steer 4083
1730 steer 3823
1740 steer 2814
1760 steer 1511
1770 steer 1014
1780 steer 0
2920 steer -1469
2930 steer -2862
2940 steer -6620
2950 steer -8874
2960 steer -10840
2970 steer -13403
2980 steer -15576
2990 steer -18830
3000 steer -20025
3010 steer -20930
3020 steer -21654
3030 steer -22245
3040 steer -23085
3050 steer -23390
3060 steer -23621
3070 steer -23985
3080 steer -24165
3090 steer -24430
3100 steer -24701
3110 steer -25099
3130 steer -25454
3140 steer -25630
3160 steer -26017
3180 steer -26625
3190 steer -28172
3200 steer -29037
3210 steer -30099
3220 steer -32332
3240 steer -33310
3250 steer -34150
3260 steer -35906
3270 steer -36804
3280 steer -37492
3290 steer -38508
3300 steer -38868
3310 steer -39412
3320 steer -39606
3340 steer -39759
3350 steer -40008
3370 steer -40197
3420 steer -40355
3930 steer -38864
3940 steer -47003
3950 steer -35075
3970 steer -32374
3980 steer -29419
3990 steer -24812
4010 steer -9105
4020 steer -7889
4030 steer -3192
4040 steer -9621
4050 steer 10193
4060 steer -29881
4070 steer -34173
4080 steer -56426
4100 steer -49443
4110 steer -53153
4120 steer -59751
4140 steer -49775
4150 steer -60849
4160 steer -56691
4180 steer -61449
4190 steer -61680
4200 steer -53444
4230 steer -42959
4250 steer -49181
4270 steer -62364
4280 steer 1216
4290 steer 1889
4300 steer -62562
4320 steer 6676
4330 steer -6353
4340 steer -62713
4350 steer -3557
4360 steer 4958
4380 steer 5180
4420-5540 press down
4450 steer 16492
4510 steer -62853
4520 steer 4720
4540 steer 13136
4550 steer 3122
4560 steer 166
4570 steer 2111
4580 steer 1889
4590 steer -8666
4600 steer 13985
4610 steer 1067
4620 steer -5734
4630 steer 10624
4770 steer -43418
