0-18840 press up
630 steer 5236
640 steer 15121
650 steer 26214
660 steer 38944
670 steer 47975
680 steer 54020
690 steer 58358
700 steer 60918
710 steer 61344
720 steer 61486
730 steer 61558
740 steer 62340
750 steer 65536
2340 steer 59495
2350 steer 34037
2360 steer 12347
2370 steer 0
2730 steer 3102
2740 steer 9076
2750 steer 14338
2760 steer 18107
2770 steer 19174
2780 steer 19601
2820 steer 19672
2920 steer 17965
2930 steer 5307
2940 steer 0
3110 steer -1605
3130 steer 0
3210 steer -4307
3220 steer -20521
3230 steer -35668
3240 steer -37446
3250 steer -36664
3260 steer -22228
3270 steer -6938
3280 steer 0
3470 steer -3027
3480 steer -15258
3490 steer -26921
3500 steer -13836
3510 steer 0
4180 steer 2676
4190 steer 6800
4200 steer 10072
4210 steer 12703
4220 steer 13343
4240 steer 12632
4250 steer 4738
4260 steer 0
4320 steer 14765
4330 steer 32401
4340 steer 36312
4350 steer 36241
4360 steer 30268
4370 steer 12916
4380 steer 0
4490 steer 2605
4500 steer 15263
4510 steer 20312
4520 steer 7440
4530 steer 0
4670 steer -4947
4680 steer -15401
4690 steer -34815
4700 steer -52308
4710 steer -61553
4720 steer -63971
4730 steer -64540
4740 steer -64398
4750 steer -61624
4760 steer -45339
4770 steer -26637
4780 steer -4876
4790 steer -8218
4800 steer -19525
4810 steer -43206
4820 steer -59846
4830 steer -64113
4840 steer -65109
4850 steer -64540
4860 steer -57073
4870 steer -25001
4880 steer 0
5080 steer -8787
5090 steer -22441
5100 steer -28414
5110 steer -29481
5120 steer -25997
5130 steer -8787
5140 steer 0
5210 steer 5947
5220 steer 15690
5230 steer 25930
5240 steer 36384
5250 steer 50535
5260 steer 65536
5290 steer 36028
5300 steer 10925
5310 steer 0
5350 steer 16827
5360 steer 40793
5370 steer 65536
5470 steer 59353
5480 steer 30623
5490 steer 8863
5500 steer 0
6010 steer -1889
6020 steer -22583
6030 steer -46193
6040 steer -56575
6050 steer -29339
6060 steer 0
6230 steer -7436
6240 steer -15187
6250 steer -20165
6260 steer -11561
6270 steer 0
6290 steer -9008
6300 steer -2458
6310 steer 0
6710 steer -4165
6720 steer -10992
6730 steer -3951
6740 steer 0
7020 steer 1538
7030 steer 7796
7040 steer 11352
7050 steer 2391
7060 steer -2326
7160 steer 13129
7170 steer 22702
7180 steer 27054
7190 steer 24365
7200 steer 7725
7210 steer 0
7490 steer -2387
7500 steer -5871
7510 steer 2310
7520 steer -7863
7530 steer -8289
7560 steer -8360
7580 steer 1299
7600 steer -8503
7610 steer -8716
7620 steer -9783
7630 steer -11916
7640 steer -13552
7650 steer -15827
7660 steer -16823
7670 steer -17463
7680 steer -17605
7700 steer -17676
7870 steer -17605
7890 steer -17534
7900 steer -17250
7910 steer -15472
7920 steer -13765
7930 steer -11845
7940 steer -8005
7950 steer -6867
7960 steer -5374
7970 steer -4307
7980 steer 6918
8000 steer -1605
8020 steer -1036
8040 steer 0
8430-8550 press down
12070 press enter
12070 steer 65536
12730 steer 13627
12740 steer 31477
12750 steer 56082
12760 steer 65536
13070 steer 53664
13080 steer 27423
13090 steer 0
13220 steer -3880
13230 steer -8645
13240 steer -17392
13250 steer -27845
13260 steer -34957
13270 steer -38299
13280 steer -41499
13290 steer -42921
13300 steer -44557
13310 steer -45126
13320 steer -45197
13330 steer -45126
13350 steer -45197
13380 steer -43419
13390 steer -34175
13400 steer -17534
13410 steer -3454
13420 steer 0
13510 steer -1249
13520 steer -13836
13530 steer -33108
13540 steer -50815
13550 steer -63971
13560 steer -65536
14080 steer -62904
14090 steer -41428
14100 steer -13694
14110 steer 0
14420 steer 12205
14430 steer 38090
14440 steer 65536
14530 steer 49468
14540 steer 16401
14550 steer 0
14590 steer -1178
14600 steer -6085
14610 steer -12556
14620 steer -21516
14630 steer -29623
14640 steer -39650
14650 steer -42566
14660 steer -40219
14670 steer -25499
14680 steer -13836
14690 steer -4236
14700 steer -1747
14710 steer 0
14770 steer 4596
14780 steer 24081
14790 steer 36455
14800 steer 45628
14810 steer 61131
14820 steer 65536
15010 steer 63762
15020 steer 49682
15030 steer 13485
15040 steer 0
15060 steer 12845
15070 steer 41717
15080 steer 63407
15090 steer 65536
15440 steer 47904
15450 steer 18819
15460 steer 0
15600 steer -11845
15610 steer -31046
15620 steer -35739
15630 steer -38797
15650 steer -47402
15660 steer -57642
15670 steer -59989
15680 steer -61838
15690 steer -65536
16070 steer -64967
16080 steer -40219
16090 steer 0
16230 steer 23085
16240 steer 53877
16250 steer 65536
16390 steer 30979
16400 steer 0
16580 steer 21023
16590 steer 63620
16600 steer -4236
16610 steer -57286
16620 steer -65536
16630 steer 0
16710 steer -11916
16720 steer -44415
16730 steer -65536
16890 steer -64895
16900 steer -63900
16910 steer -65536
16920 steer -63047
16930 steer -20023
16940 steer -14974
16950 steer -14618
16960 steer -7294
16970 steer 0
17020 steer -49179
17030 steer 0
17060 steer -15330
17070 steer -44202
17080 steer -42068
17090 steer -5729
17100 steer 0
17270 steer 16614
17280 steer 58429
17290 steer 65536
17390 steer 57931
17400 steer 0
17690 steer -8076
17700 steer -25285
17710 steer -39935
17720 steer -64327
17730 steer -65536
17750 steer -7863
17760 steer 0
17810 steer -10423
17820 steer -58851
17830 steer -65536
