0-8560 press up
100 steer -1391
110 steer -2174
120 steer -2956
130 steer -3809
140 steer -5800
150 steer -6796
160 steer -7863
170 steer -8076
180 steer -8503
200 steer -8574
220 steer -8645
280 steer -8574
340 steer -8503
350 steer -8574
360 steer -8858
370 steer -9072
380 steer -10209
390 steer -10707
400 steer -11489
410 steer -11632
420 steer -11916
430 steer -11987
450 steer -11916
460 steer -11845
470 steer -11774
480 steer -11703
500 steer -11916
510 steer -12058
520 steer -12272
530 steer -12343
610 steer -12272
650 steer -12343
680 steer -12272
820 steer -12201
850 steer -11063
860 steer -6014
870 steer -2671
880 steer 0
2350 steer 2747
2360 steer 9005
2370 steer 10854
2380 steer 12347
2390 steer 13343
2400 steer 14125
2410 steer 14623
2420 steer 1396
2430 steer 8080
2440 steer 10854
2450 steer 12916
2460 steer 14196
2470 steer 14907
2480 steer 15121
2540 steer 15192
2570 steer 15121
2590 steer 15192
2600 steer 15263
2610 steer 15476
2620 steer 15832
2630 steer 17041
2640 steer 17396
2650 steer 17681
2660 steer 17823
2670 steer 17894
2730 steer 14978
2740 steer 14196
2750 steer 10925
2760 steer 5449
2770 steer 17823
2880 steer 16827
2890 steer 15618
2900 steer 13485
2910 steer 10427
2920 steer 6303
2930 steer 0
3110 steer -1178
3120 steer -2671
3130 steer -3880
3140 steer -4663
3150 steer -5160
3210 steer -3525
3220 steer -1889
3230 steer 0
3310 steer -3525
3320 steer -8218
3330 steer -17321
3340 steer -23223
3350 steer -28130
3360 steer -31614
3370 steer -33748
3380 steer -34388
3390 steer -27277
3400 steer -15187
3410 steer -7080
3420 steer 0
3760 steer 5378
3770 steer 10712
3780 steer 16614
3790 steer 27779
3800 steer 31263
3810 steer 32472
3820 steer 29201
3830 steer 23939
3840 steer 16187
3850 steer 3956
3860 steer 0
4560 steer 2605
4580 steer 4809
4590 steer 5520
4600 steer 6089
4610 steer 6516
4620 steer 7014
4630 steer 7085
4650 steer 7156
4690 steer 6231
4700 steer 5520
4710 steer 1040
4720 steer 0
5130 steer 12363
5140 steer 6303
5150 steer 18890
5160 steer 22374
5170 steer 47493
5180 steer 43993
5190 steer 48686
5200 steer 50133
5210 steer 55445
5220 steer 59010
5510 steer 54091
5580 steer 63968
5620 steer 54091
5650 steer 58124
5660 steer 54091
5670 steer 55015
5680 steer 56366
5690 steer 59851
5700 steer 61486
5710 steer 62553
5720 steer 63051
5730 steer 53326
5740 steer 60275
5760 steer 55844
5820 steer 62862
6010 steer 63549
6120 steer -6227
6130 steer -27917
6140 steer -10636
6150 steer -27632
6160 steer -40290
6170 steer -51953
6180 steer -63758
6190 steer -57096
6230 steer -54797
6240 steer -40219
6250 steer -25428
6260 steer -6156
6270 steer -5959
6320 steer -12465
6330 steer -11561
6340 steer -28628
6350 steer -52593
6360 steer -57144
6370 steer -65536
6450 steer -63687
6460 steer -53588
6470 steer -45979
6480 steer -35881
6490 steer -35241
6500 steer -41357
6510 steer -52948
6520 steer -60344
6530 steer -65536
6550 steer 63833
6630 steer 63762
6690 steer 62813
6750 steer 63193
6760 steer 62055
6770 steer 55797
6780 steer 50179
6790 steer 39370
6800 steer 35103
6810 steer 22445
6820 steer 16812
6830 steer -262
6840 steer -5476
7280 steer -52237
7290 steer -45482
7300 steer -20450
7310 steer -1107
7320 steer 17254
7330 steer 35957
7330-8560 press down
7340 steer 50535
7350 steer 65536
7360 steer -7649
7370 steer -19881
7380 steer -30619
7390 steer -44976
7400 steer -53304
7410 steer -61994
