# Time: 11450, iterations: 117032
0-11750 press up
560-740 press left
1360-1470 press right
1870-1920 press right
2150-2740 press right
2380 steer 2547
2390 steer 15261
2400 steer 41844
2410 steer 58024
2420 steer 65536
2480 steer 27974
2490 steer 0
2500 steer -13765
2510 steer -65536
2590 steer -60984
2600 steer -53588
2610 steer -54157
2620 steer -63829
2630 steer -65536
2710 steer -49606
2720 steer -9783
2730 steer 0
2750 steer -65536
3070-5730 press down
3100 steer 42421
3110 steer 65536
3500 steer -63130
3560 steer 3125
3570 steer 8325
3580 steer 10058
3590 steer 14683
3600 steer 18150
3610 steer 24508
3620 steer 30286
3630 steer 37810
3640 steer 40688
3650 steer 42421
3660 steer 48202
3670 steer 49935
3680 steer 51530
3690 steer 57446
3700 steer 60915
3710 steer 62071
3720 steer 63227
3730 steer 65536
4550 steer 49935
4560 steer 27397
4570 steer 18727
4580 steer 0
4610 steer -1818
4620 steer -27419
4630 steer -34246
4640 steer -53020
4650 steer -62691
4660 steer -65536
5190 steer 7169
5200 steer 15261
5210 steer 19305
5220 steer 20461
5250 steer 15838
5260 steer 0
5870-5940 press down
6440 steer 3125
6450 steer 4280
6460 steer 6591
6520 steer 7169
6530 steer 8903
6540 steer 11216
6550 steer 14683
6560 steer 20461
6570 steer 31441
6580 steer 41266
6590 steer 59760
6600 steer 63227
6610 steer 65536
7470 steer 62649
7480 steer 56869
7490 steer 41844
7500 steer 37221
7510 steer 21039
7520 steer 8325
7530 steer 0
7720 steer -1249
7730 steer -7507
7740 steer -10920
7750 steer -21161
7760 steer -29126
7770 steer -33677
7780 steer -41641
7790 steer -49606
7800 steer -53020
7810 steer -55014
7820 steer -63260
7830 steer -64967
7840 steer -65536
8230 steer -60984
8240 steer -49606
8250 steer -26850
8260 steer -8076
8270 steer 0
8320 steer 8903
8330 steer 12372
8340 steer 26819
8350 steer 41266
8360 steer 53402
8370 steer 59180
8380 steer 57944
8390 steer 60915
8410 steer 56869
8420 steer 52246
8430 steer 28552
8440 steer 21039
8450 steer 0
8520 steer -3525
8530 steer -12627
8540 steer -14183
8550 steer -26850
8560 steer -39366
8570 steer -42210
8580 steer -45624
8590 steer -46762
8610 steer -42779
8620 steer -35952
8630 steer -22299
8640 steer -9214
8650 steer 0
8920 steer -5800
8930 steer -20592
8940 steer -31970
8950 steer -42779
8960 steer -60984
8970 steer -63260
8980 steer -65536
9010 steer -63260
9020 steer -57002
9030 steer -47331
9040 steer -20023
9050 steer -12058
9060 steer 0
9310 steer 4280
9320 steer 8325
9330 steer 16416
9340 steer 27397
9350 steer 28552
9360 steer 35488
9370 steer 37221
9390 steer 37799
9400 steer 35488
9410 steer 23930
9420 steer 15261
9430 steer 7169
9440 steer 0
9580 steer 1391
9590 steer 7747
9600 steer 11216
9610 steer 12372
9620 steer 15838
9630 steer 19305
9640 steer 19883
9650 steer 25085
9660 steer 29708
9670 steer 35488
9680 steer 37799
9690 steer 40688
9700 steer 44155
9710 steer 48202
9720 steer 48779
9730 steer 50513
9740 steer 54557
9750 steer 52215
9760 steer 59180
9770 steer 60338
9780 steer 61493
9790 steer 62649
9800 steer 63227
9810 steer 65536
10220 steer 0
10520 steer -14903
10530 steer -35383
10540 steer -47331
10550 steer -62122
10560 steer -60901
10840 steer -55295
10850 steer -51493
10860 steer 0
10890 steer 3125
10900 steer 21039
10900-10940 press down
10910 steer 37799
10920 steer 61493
10930 steer 58850
