0-9340 press up
120 steer 3814
130 steer 6516
140 steer 9360
150 steer 13698
160 steer 15903
170 steer 18321
180 steer 19814
190 steer 20241
200 steer 20525
210 steer 20596
260 steer 20667
270 steer 20596
300 steer 20667
310 steer 20596
320 steer 20667
370 steer 20739
450 steer 20667
490 steer 20739
1300 steer 20667
1310 steer 20596
1320 steer 19601
1330 steer 17752
1340 steer 14765
1350 steer 8720
1360 steer 1680
1370 steer 0
1680 steer -2956
1690 steer -4449
1700 steer -5516
1710 steer -6654
1900 steer -6156
1910 steer -5658
2540 steer -7223
2550 steer -9285
2560 steer -11703
2570 steer -15685
2580 steer -18743
2590 steer -19241
2600 steer -20379
2610 steer -20876
2620 steer -21019
2680 steer -20221
2700 steer -21019
2720 steer -20947
2830 steer -21019
2840 steer -20947
2860 steer -21019
2910 steer -20947
2980 steer -20876
3000 steer -19928
3010 steer -20734
3030 steer -20663
3050 steer -20592
3120 steer -20521
3140 steer -20023
3150 steer -17392
3160 steer -14121
3170 steer -7934
3180 steer -1960
3190 steer 0
3480 steer -2742
3490 steer -3951
3500 steer -4449
3510 steer -5303
3520 steer -5943
3530 steer -6440
3550 steer -7009
3560 steer -7578
3570 steer -7792
3580 steer -8432
3590 steer -8787
3600 steer -9072
3610 steer -9143
3620 steer -9214
3660 steer -9285
3690 steer -9214
3730 steer -9285
3750 steer -9209
3850 steer -9285
3860 steer -9214
3880 steer -9338
3890 steer -9214
3920 steer -8929
3930 steer -8716
3940 steer -8645
3950 steer -8432
4070 steer -8360
4090 steer -8432
4120 steer -8289
4130 steer -7792
4140 steer -4947
4150 steer -1178
4160 steer 0
4320 steer -8645
4330 steer -18032
4340 steer -20876
4350 steer -27063
4360 steer -21943
4370 steer -18743
4380 steer -8432
4390 steer 0
4680 steer 827
4700 steer 1325
4820 steer 0
5480-5600 press down
7320 steer -1605
7330 steer -7507
7340 steer -21872
7350 steer -41570
7360 steer -58282
7370 steer -65536
7490 steer -52178
7500 steer -37304
7510 steer -9427
7520 steer 5591
7530 steer 23156
7540 steer 39086
7550 steer 57220
7560 steer 65536
7960 steer 61415
7970 steer 58144
7980 steer 45557
7990 steer 30766
8000 steer 20810
8010 steer 8294
8020 steer 2391
8030 steer 0
9030 steer 199
9040 steer 0
