# Time: 15020, iterations: 76726
0-7190 press up
430 steer -65536
540 steer 0
2450 steer 65536
2580 steer 0
2870 steer 65536
3010 steer 0
3940 steer -65536
6080-6770 press down
6770 steer 0
6780 steer 65536
6840 steer 0
7640-7710 press down
7780 steer 4280
7790 steer 10058
7800 steer 21039
7810 steer 23930
7830 steer 16416
7840 steer 0
7910 steer 11794
7920 steer 19305
7930 steer 21616
7950 steer 10058
7960 steer 0
8200-11770 press up
8600 steer 814
8640 steer 0
8730 steer 10636
8740 steer 21616
8750 steer 34330
8760 steer 49357
8770 steer 55135
8780 steer 59180
8790 steer 62071
8800 steer 64382
8810 steer 59490
8870 steer 37799
8880 steer 6014
8890 steer 0
9330 steer 65536
10790-11300 press down
11100 steer -65536
11300 steer 0
11320-13750 press down
11950 steer -1249
11960 steer -7507
11970 steer -13196
11980 steer -17178
11990 steer -22299
12000 steer -24574
12010 steer -26850
12020 steer -29126
12030 steer -32539
12040 steer -34246
12050 steer -39366
12060 steer -40504
12070 steer -41641
12080 steer -42210
12120 steer -41641
12130 steer -24398
12140 steer -14903
12150 steer 0
12230 steer 9480
12240 steer 22772
12250 steer 36066
12260 steer 49357
12270 steer 52824
12280 steer 56869
12290 steer 63272
12300 steer 60915
12370 steer 48779
12380 steer 32597
12390 steer 13527
12400 steer 0
12570 steer -6369
12580 steer -22868
12590 steer -45055
12600 steer -65536
12670 steer -63829
12680 steer -48468
12690 steer -29694
12700 steer 928
12750 steer 65536
12920 steer -14903
12930 steer -60415
12940 steer -65536
13000 steer 65536
13290 steer 440
13300 steer -44486
13510 steer -56527
14060-15240 press up
14130 steer -5800
14150 steer 5344
14170 steer 5436
14180 steer 36172
14190 steer 43577
14200 steer 48202
14220 steer 26819
14230 steer 2349
14310 steer 1969
14320 steer 17395
14330 steer 26241
14340 steer 30863
14350 steer 31441
14370 steer 13527
14380 steer 0
14500 steer 7169
14510 steer 30286
14520 steer 59180
14530 steer 65536
