0-2670 press up
450 steer 1040
460 steer 1680
480 steer 2320
490 steer 2818
500 steer -1517
510 steer 2818
600 steer 11959
610 steer 2818
630 steer 3316
650 steer 3956
660 steer 4454
680 steer 4951
870 steer 5449
880 steer 6231
890 steer 7298
900 steer 8009
910 steer 9076
920 steer 9218
930 steer 9432
940 steer 9503
950 steer 9574
960 steer 10640
970 steer 11494
980 steer 12418
990 steer 13698
1000 steer 14267
1010 steer 14409
1100 steer 14196
1110 steer 11494
1120 steer 10143
1130 steer 3245
1140 steer 1538
1150 steer 0
1710 steer -5344
1720 steer 0
1910 steer 95
1920 steer 0
1950 steer -751
1960 steer -5584
1970 steer -7578
1980 steer -17392
1990 steer -23436
2000 steer -32610
2010 steer -37730
2020 steer -41713
2030 steer -44486
2040 steer -39081
2050 steer -24219
2060 steer -9214
2070 steer 0
2200 steer -3027
2210 steer -15271
2220 steer -28414
2230 steer -35952
2240 steer -40148
2250 steer -33535
2260 steer -23863
2270 steer -8681
2280 steer 0
2660-3100 press down
2760 steer -1127
2770 steer 0
3020 steer 1530
3030 steer 0
3060 steer 4590
3070 steer 0
3090-10000 press up
3150 steer -383
3160 steer 0
3330 steer -6296
3340 steer 0
3380 steer -542
3390 steer 1182
3400 steer 5094
3410 steer 7227
3420 steer 8792
3430 steer 7938
3440 steer 4169
3450 steer 0
3510 steer -2905
3520 steer 0
3670 steer 2332
3680 steer 0
3720 steer 9244
3730 steer 0
3740 steer 3420
3750 steer 0
3780 steer -8093
3790 steer 0
3880 steer 898
3890 steer 12134
3900 steer 20525
3910 steer 35672
3920 steer 36739
3930 steer 35815
3940 steer 31690
3950 steer 13129
3960 steer 4169
3970 steer 0
4140 steer 4227
4150 steer 0
4250 steer -5127
4260 steer 0
4410 steer 2246
4420 steer 0
4460 steer -6725
4470 steer -26423
4480 steer -36521
4490 steer -43795
4500 steer -34743
4510 steer -24290
4520 steer -13054
4530 steer 0
4590 steer 633
4600 steer 0
4660 steer -520
4670 steer 0
4790 steer -4513
