0-4050 press up
100 steer -745
120 steer -1750
130 steer -3307
150 steer -5118
160 steer -6324
180 steer -6675
310 steer -7177
320 steer -7629
340 steer -8936
360 steer -11198
370 steer -13208
390 steer -14466
400 steer -14918
500 steer -15422
520 steer -16075
530 steer -17481
550 steer -19242
570 steer -20748
590 steer -21804
730 steer -22107
750 steer -22559
760 steer -23714
780 steer -25725
800 steer -26730
960 steer -27182
970 steer -27635
990 steer -28340
1000 steer -28841
1180 steer -29394
1200 steer -29696
1220 steer -29946
1300 steer -28691
1310 steer -26227
1330 steer -24266
1350 steer -23261
1380 steer -23011
1390 steer -22055
1410 steer -19141
1420 steer -14415
1440 steer -7329
1460 steer -1548
1470 steer 0
1600 steer 2271
1620 steer 5371
1630 steer 5850
1700 steer 7042
1710 steer 8902
1730 steer 10764
1740 steer 11192
1820 steer 10764
2110 steer 11098
2130 steer 12051
2150 steer 13530
2160 steer 15440
2180 steer 17109
2190 steer 18159
2210 steer 18875
2230 steer 19495
2240 steer 20211
2260 steer 20591
2290 steer 21261
2310 steer 22691
2320 steer 25793
2340 steer 30181
2350 steer 34666
2370 steer 38628
2380 steer 41680
2400 steer 43970
2420 steer 45545
2430 steer 46309
2610 steer 49171
2630 steer 54468
2640 steer 59573
2660 steer 63532
2670 steer 65536
2880 steer 59477
2900 steer 45306
2910 steer 30898
2930 steer 19305
2950 steer 10621
2960 steer 2414
2980 steer 0
3170 steer 2795
3180 steer 7996
3200 steer 12958
3220 steer 16297
3230 steer 17109
3260 steer 11908
3280 steer 935
3300 steer 0
3340 steer -2101
3360 steer -9489
3380 steer -18788
3390 steer -27332
3410 steer -37587
3430 steer -48797
3440 steer -58598
3460 steer -65536
3600 steer -55079
3620 steer -36732
3630 steer -20950
3650 steer -6624
3660 steer 0
4060-8890 press up
4590 steer 1078
4610 steer 1459
4620 steer 1841
4640 steer 2271
4760 steer 2557
4780 steer 3224
4800 steer 4847
4810 steer 6423
4830 steer 7472
4840 steer 8186
4860 steer 8569
4880 steer 8855
4910 steer 9236
4940 steer 9475
4970 steer 9715
4990 steer 10048
5000 steer 10478
5020 steer 10858
5050 steer 11192
5090 steer 11718
5100 steer 12338
5120 steer 13005
5130 steer 13530
5170 steer 13817
5190 steer 13567
5200 steer 13817
5210 steer 14056
5240 steer 14294
5280 steer 14533
5400 steer 13434
5420 steer 10621
5440 steer 6326
5450 steer 2938
5470 steer 2701
5500 steer 3081
5520 steer 5563
5530 steer 9905
