0-10230 press up
40 steer 898
50 steer 2107
60 steer 3956
70 steer 5591
80 steer 7938
90 steer 11281
100 steer 13343
110 steer 14765
120 steer 15121
130 steer 15334
140 steer 15618
150 steer 15832
160 steer 15903
210 steer 15974
280 steer 16045
370 steer 16116
450 steer 16045
470 steer 16116
530 steer 16187
570 steer 16258
600 steer 16330
610 steer 16472
620 steer 16898
630 steer 17041
640 steer 17183
650 steer 17254
660 steer 17894
670 steer 18747
680 steer 19032
730 steer 19103
750 steer 19174
950 steer 19103
960 steer 19174
1060 steer 18507
1070 steer 19174
1260 steer 22662
1270 steer 19174
1450 steer 19032
1460 steer 15263
1470 steer 2676
1480 steer 0
1690 steer -4876
1700 steer -12129
1710 steer -22512
1720 steer -28201
1730 steer -22370
1740 steer -1391
1750 steer 0
1920 steer 2041
1930 steer 0
2120 steer -7843
2130 steer 0
2150 steer -822
2160 steer -1320
2170 steer -1818
2200 steer -2316
2280 steer -3311
2290 steer -5374
2300 steer -6440
2310 steer -6938
2320 steer -7792
2340 steer -7934
2350 steer -10209
2360 steer -14049
2370 steer -16112
2380 steer -16467
2490 steer -17036
2500 steer -19312
2510 steer -23223
2520 steer -25285
2530 steer -25783
2540 steer -25641
2550 steer -24503
2560 steer -23365
2570 steer -23152
3000 steer -23721
3010 steer -27134
3020 steer -29623
3030 steer -30192
3040 steer -30263
3050 steer -30690
3060 steer -33890
3070 steer -43988
3080 steer -52522
3090 steer -58922
3100 steer -65464
3110 steer -65536
3450 steer -65060
3460 steer -65536
3940 steer -41641
3950 steer -13267
3960 steer 0
4030 steer 2193
4040 steer 0
4210 steer 2783
4220 steer 0
4230 steer 5307
4240 steer 22486
4250 steer 16543
4260 steer 24934
4270 steer 31994
4280 steer 47691
4290 steer 62695
4300 steer 65536
4310 steer 61735
4320 steer 63719
4330 steer 37379
4340 steer 5307
4350 steer 0
4390 steer 9645
4400 steer 38659
4410 steer 64402
4420 steer 65536
4440 steer 64533
4450 steer 65536
4490 steer 64840
4500 steer 65536
4730 steer 59138
4740 steer 65536
4770 steer 0
6000 steer -8360
6010 steer -19952
6020 steer -32610
6030 steer -39650
6040 steer -46335
6050 steer -43704
6060 steer -40148
6070 steer -20663
6080 steer -10423
6090 steer -2316
6100 steer 0
6520 steer 3174
6530 steer 21805
6540 steer 36952
6550 steer 56366
6560 steer 65536
6910 steer 60491
6920 steer 50322
6930 steer 29130
6940 steer 15547
6950 steer 0
7150 steer -7614
7160 steer 0
7340 steer -965
7350 steer -7578
7360 steer -21659
7370 steer -29126
7380 steer -25214
7390 steer -18103
7400 steer -3738
7410 steer 0
7450 steer -2316
7460 steer -11205
7470 steer -38086
7480 steer -51242
7490 steer -61553
7500 steer -65536
7600 steer -61556
7610 steer -65536
7620 steer -56931
7630 steer -41357
7640 steer -19525
7650 steer -7080
7660 steer 0
8840 steer -2102
8850 steer -6511
8860 steer -10423
8870 steer -17676
8870-8980 press down
8880 steer -23010
8890 steer -28699
8900 steer -37446
8910 steer -46904
8920 steer -53517
8930 steer -58922
8940 steer -64895
8950 steer -65536
9370 steer -63829
9380 steer -60629
9390 steer -53162
9400 steer -51313
9410 steer -47615
9420 steer -40859
9430 steer -31543
9440 steer -23863
9450 steer -10423
9460 steer 0
9480 steer 15903
9490 steer 36668
9500 steer 52100
9510 steer 58500
9520 steer 61415
9530 steer 61486
9550 steer 61558
9570 steer 61984
9580 steer 62624
9590 steer 63762
9600 steer 65536
9980 steer 7085
9990 steer 25859
10000 steer 40366
10010 steer 63051
10020 steer 65536
10240 steer 61342
10250 steer 65536
10360 steer 58226
10370 steer 65536
10400 steer 62548
10410 steer 65536
10520 steer 62193
10530 steer 65536
10540 steer 56614
10550 steer 65536
10640-10840 press up
10680 steer 59113
10690 steer 65536
10940 steer 57774
10950 steer 65536
11080-11200 press up
11160-11410 press down
11840-16650 press up
12070 steer 827
12080 steer 9929
12090 steer 19885
12100 steer 39086
12110 steer 50322
12120 steer 59140
12130 steer 65536
12800-12980 press down
13720 steer 63762
13730 steer 59069
13740 steer 50464
13750 steer 42784
13760 steer 28490
13770 steer 18605
13780 steer 10356
13790 steer 1894
13800 steer 0
15210 steer -3667
15220 steer -10494
15230 steer -16396
15240 steer -25997
15250 steer -31828
15260 steer -37304
15270 steer -42281
15280 steer -50886
15290 steer -54797
15300 steer -58424
15310 steer -61695
15320 steer -65536
