0-6620 press up
380 steer 1894
390 steer 3671
420 steer 4809
510 steer 5307
520 steer 5947
530 steer 6160
540 steer 6303
550 steer 6374
680 steer 6303
870 steer 6374
1080 steer 6445
1120 steer 6374
1150 steer 6445
1190 steer 6516
1200 steer 6587
1210 steer 6943
1220 steer 7512
1230 steer 8223
1240 steer 8934
1250 steer 10072
1260 steer 10996
1270 steer 11281
1280 steer 11494
1290 steer 11565
1300 steer 11636
1430 steer 11494
1440 steer 10498
1450 steer 9005
1460 steer 4383
1480 steer 0
1770 steer 1325
1780 steer 1894
1800 steer 2391
1830 steer 2960
1840 steer 4454
1850 steer 4951
1860 steer 6089
1870 steer 6800
1880 steer 7440
1900 steer 7583
1930 steer 7654
1940 steer 7725
1950 steer 7796
1960 steer 8009
1970 steer 8294
1980 steer 8792
1990 steer 9076
2000 steer 9432
2010 steer 9645
2020 steer 17965
2030 steer 19103
2040 steer 24223
2050 steer 25503
2060 steer 26499
2070 steer 30197
2080 steer 31406
2110 steer 31477
2150 steer 33041
2160 steer 35103
2170 steer 36099
2180 steer 36739
2190 steer 36810
2200 steer 36739
2210 steer 36810
2230 steer 36099
2240 steer 6658
2250 steer 0
2280 steer 25148
2290 steer 32970
2300 steer 21805
2310 steer 0
2320 steer 7512
2330 steer 28561
2340 steer 37948
2350 steer 15050
2360 steer 0
2380 steer 26357
2390 steer 47904
2400 steer 57362
2410 steer 38801
2420 steer 2747
2430 steer 23654
2440 steer 65536
2460 steer 17538
2470 steer 1467
2480 steer 6018
2490 steer 55869
2500 steer 65536
2510 steer 30623
2520 steer 0
2550 steer -32183
2560 steer -65536
3010 steer -62930
3020 steer -65536
3110 steer -32326
3120 steer 0
3770-4080 press down
3950 steer 8712
3960 steer 0
4200 steer -2861
4210 steer -6725
4220 steer -14263
4230 steer -24503
4240 steer -37588
4250 steer -42495
4260 steer -52877
4270 steer -56077
4280 steer -60273
4290 steer -60842
4300 steer -61766
4320 steer -51668
4330 steer -39935
4340 steer -9000
4350 steer -3738
4360 steer 0
4460 steer -4079
4470 steer 0
4590 steer 149
4600 steer 0
4730 steer -4695
4740 steer 0
5260 steer 1416
5270 steer 0
5300 steer 1680
5310 steer 5805
5320 steer 31974
5330 steer 39086
5340 steer 54802
5350 steer 57860
5360 steer 59638
5370 steer 59780
5380 steer 54731
5390 steer 46624
5400 steer 16401
5410 steer 5805
5420 steer 0
5480 steer 376
5490 steer 0
5510 steer 9240
5520 steer 0
5580 steer 3575
5590 steer 751
5600 steer 0
5740 steer -7939
5750 steer 0
5760 steer -2973
5770 steer 0
5870 steer -5245
5880 steer 0
5940 steer 2911
5950 steer 0
6050 steer -1438
6060 steer -9169
6070 steer 0
6300 steer 5947
6310 steer 19672
6320 steer 37379
6330 steer 52526
6340 steer 65536
6480 steer 59069
6490 steer 49326
6500 steer 6445
6510 steer 0
6570 steer 685
6580 steer 7867
6590 steer 13343
6600 steer 21379
6610 steer 24223
6620 steer 29201
6630 steer 32472
6640 steer 41077
6650 steer 46197
6660 steer 65536
6850 steer 62482
6860 steer 55797
6870 steer 55229
6880 steer 55300
6900 steer 54802
6910 steer 49682
6920 steer 43637
6930 steer 42428
6940 steer 42641
6950 steer 42713
6960 steer 42286
6970 steer 37806
6980 steer 18178
6990 steer 4027
7000 steer 0
7010 steer -3981
7020 steer 8367
7030 steer 1396
7040 steer 13129
7050 steer 21592
7060 steer 36241
7070 steer 48259
7080 steer 55300
7090 steer 58500
7100 steer 60278
7110 steer 61415
7120 steer 61842
7140 steer 52455
7150 steer 4169
7160 steer 10996
7170 steer 13485
7180 steer 15832
7190 steer 17610
7200 steer 18534
7210 steer 0
7220 steer 18605
7230 steer 19459
7240 steer 20952
7250 steer 22801
7260 steer 23654
7270 steer 23725
7280 steer 40295
7290 steer 42428
7300 steer 42357
7310 steer 38944
7320 steer 17823
7330 steer 2462
7340 steer 0
7420 steer 6802
7430 steer 0
7540 steer 23796
7560 steer 23725
7580 steer 23796
7600 steer 23939
7610 steer 25076
7620 steer 30837
7630 steer 34250
7640 steer 40721
7650 steer 42286
7660 steer 43353
7670 steer 43424
7740 steer 43779
7750 steer 44206
7760 steer 46055
7770 steer 47122
7780 steer 47335
7790 steer 47477
7830 steer 47406
7860 steer 47335
7870 steer 47264
7900 steer 48188
7910 steer 50464
7920 steer 53806
7930 steer 54020
7940 steer 54091
7960 steer 54162
7970 steer 54233
7980 steer 57504
7990 steer 59566
8000 steer 61060
8010 steer 61202
8020 steer 61344
8030 steer 61415
8090 steer 61486
8140 steer 61629
8190 steer 61558
8240 steer 61629
8260 steer 61558
8320 steer 61629
8350 steer 61558
8360 steer 61629
8390 steer 61558
8480 steer 61629
8500 steer 61558
8560 steer 61629
8640 steer 61558
8650 steer 61629
8660 steer 61558
8680 steer 61629
8690 steer 61558
8730 steer 61629
8790 steer 62550
8800 steer 61629
8850 steer 61558
8870 steer 61629
9090 steer 61558
9100 steer 61486
9110 steer 61060
9120 steer 53877
9130 steer 39157
9140 steer 7298
9150 steer 0
9610 steer -8360
9620 steer -40930
9630 steer -56789
9640 steer -57073
9650 steer -25925
9660 steer 0
10550 steer 6167
10560 steer 0
