0-6970 press up
360 steer 960
370 steer 1274
380 steer 1622
390 steer 2182
400 steer 2465
410 steer 2774
420 steer 4436
430 steer 3691
440 steer 4023
450 steer 4371
460 steer 4738
470 steer 5585
480 steer 6103
490 steer 6631
500 steer 7567
520 steer 12123
530 steer 9263
540 steer 9836
550 steer 10816
560 steer 11263
570 steer 11692
580 steer 12158
590 steer 13094
600 steer 13465
610 steer 13792
620 steer 14065
630 steer 14287
640 steer 14616
660 steer 14865
680 steer 15107
710 steer 15341
720 steer 15585
740 steer 15818
760 steer 16096
780 steer 16450
790 steer 16661
800 steer 16970
810 steer 17561
820 steer 17805
830 steer 18038
850 steer 18419
860 steer 18661
890 steer 18885
930 steer 19167
950 steer 19470
960 steer 19796
970 steer 20585
980 steer 21001
990 steer 21376
1000 steer 22188
1020 steer 23176
1030 steer 23636
1040 steer 24189
1050 steer 25150
1060 steer 25737
1070 steer 26337
1080 steer 26954
1090 steer 28323
1100 steer 29141
1110 steer 30230
1120 steer 31510
1130 steer 34119
1140 steer 35443
1150 steer 36741
1160 steer 38008
1170 steer 41350
1180 steer 42979
1190 steer 44595
1200 steer 46237
1210 steer 47906
1220 steer 51553
1230 steer 53300
1240 steer 55013
1250 steer 56933
1260 steer 65536
1480 steer 61511
1490 steer 59713
1500 steer 42228
1510 steer 46436
1520 steer 18013
1530 steer 14582
1540 steer 1618
1550 steer 0
1780 steer 1736
1790 steer 2389
1800 steer 2954
1810 steer -7275
1820 steer 4209
1830 steer 4496
1840 steer 4765
1850 steer 5007
1860 steer 14497
1870 steer 6385
1880 steer 7196
1890 steer 9169
1900 steer 20647
1910 steer 11063
1920 steer 25982
1930 steer 13041
1940 steer 13177
1950 steer 2866
1960 steer 33752
1970 steer 14874
1980 steer 16454
1990 steer 15958
2000 steer 17296
2020 steer 23023
2030 steer 13114
2040 steer 33331
2050 steer 21472
2060 steer 21905
2070 steer 22223
2080 steer 16604
2100 steer 22859
2110 steer 23105
2170 steer 22719
2190 steer 20532
2200 steer 18836
2210 steer 16661
2220 steer 5030
2230 steer 9214
2240 steer 6860
2250 steer 4796
2260 steer 2845
2270 steer 0
2360 steer -22054
2370 steer -21874
2380 steer -24621
2390 steer -42724
2400 steer -44899
2410 steer -47728
2420 steer -65536
2580 steer -62429
2590 steer -39821
2600 steer -39928
2610 steer -11294
2620 steer -3656
2670 steer -1250
2680 steer 3883
2690 steer 15677
2700 steer 21319
2720 steer 36032
2730 steer 53876
2740 steer 34333
2750 steer 60738
2760 steer 37636
2770 steer 48091
2780 steer 45455
2790 steer 49016
2800 steer 31678
2810 steer 52802
2830 steer 39220
2840 steer 62175
2850 steer 47019
2860 steer 30434
2870 steer 29599
2880 steer 10654
2890 steer 9786
2910 steer 25972
2920 steer 19200
2930 steer 15953
2940 steer 15488
2950 steer 22208
2970 steer 13156
2990 steer 20618
3000 steer 2095
3010 steer 27004
3020 steer 48881
3030 steer 42204
3040 steer 31465
3050 steer 42684
3060 steer 45087
3070 steer 44059
3080 steer 45848
3090 steer 64060
3100 steer 55015
3110 steer 48469
3120 steer 44317
3130 steer 55538
3140 steer 43132
3150 steer 30254
3160 steer 45160
3170 steer 1448
3190 steer 12943
3330 steer 32420
3340 steer 45322
3350 steer 54489
3360 steer 65071
3370 steer 65282
3380 steer 65308
3390 steer 63880
3410 steer 64951
3420 steer 57314
3440 steer 58841
3450 steer 49654
3460 steer 48740
3470 steer 42726
3480 steer 26520
3490 steer 27648
3500 steer 13438
3540 steer -24670
3550 steer -52508
3560 steer -65536
3570 steer -56500
3640 steer 0
3960-4500 press down

