0-7620 press up
2670 steer -10966
2680 steer -5800
2700 steer -3382
2710 steer 3322
2720 steer 0
3890 steer 16215
3900 steer 19743
3910 steer 27352
3920 steer 30837
3930 steer 18605
3940 steer 9574
3950 steer -2218
4520 steer -4934
4530 steer -6369
4540 steer -24148
4550 steer -29268
4560 steer -50317
4570 steer -58495
4580 steer -64469
4590 steer -65536
5420 press enter
5440 steer -60989
5450 steer -47361
5460 steer -42424
5470 steer -29623
5480 steer -2597
5490 steer 2817
5500 steer -401
6270 steer 14765
6280 steer 26617
6290 steer 22161
6300 steer 24081
6310 steer 24579
6320 steer 31846
6330 steer 25290
6340 steer 25219
6350 steer 11710
6360 steer 19530
6370 steer 16187
6380 steer -13955
6390 steer 2132
