0-6290 press up
240 steer 969
250 steer 1538
260 steer 2747
270 steer 3814
300 steer 4311
320 steer 5663
330 steer 7796
340 steer 8934
350 steer 10427
360 steer 10925
370 steer 11209
380 steer 11352
390 steer 11423
400 steer 11636
410 steer 11849
420 steer 11992
430 steer 12205
440 steer 12347
450 steer 12418
460 steer 12489
470 steer 12418
480 steer 12489
490 steer 12703
500 steer 12845
510 steer 13129
520 steer 13201
530 steer 13272
550 steer 13343
560 steer 13912
570 steer 15476
580 steer 17112
590 steer 17823
600 steer 17894
610 steer 17965
620 steer 18036
720 steer 17965
740 steer 18036
780 steer 17965
810 steer 18036
820 steer 17254
830 steer 13983
840 steer 9182
850 steer 0
2850 steer -2814
2860 steer -7009
2870 steer -11347
2880 steer -14192
2890 steer -15827
2900 steer -16823
2910 steer -16894
2940 steer -16965
2960 steer -17107
2970 steer -17463
2980 steer -17961
2990 steer -18601
3000 steer -19027
3010 steer -19952
3020 steer -20947
3030 steer -21587
3040 steer -22441
3050 steer -24153
3060 steer -23508
3070 steer -24186
3080 steer -26210
3090 steer -30050
3100 steer -33108
3110 steer -34032
3120 steer -35028
3130 steer -35455
3140 steer -35526
3150 steer -35597
3190 steer -35383
3200 steer -19596
3210 steer -3951
3220 steer 0
3410 steer -1889
3420 steer -2956
3430 steer -3525
3440 steer -5800
3450 steer -7649
3460 steer -8432
3470 steer -8503
3480 steer -8574
3520 steer -8858
3530 steer -10565
3540 steer -12141
3550 steer -13267
3560 steer -13978
3570 steer -14832
3580 steer -15970
3590 steer -17961
3600 steer -21090
3610 steer -22085
3620 steer -22796
3630 steer -23436
3640 steer -24716
3650 steer -27348
3660 steer -30192
3670 steer -31472
3680 steer -32539
3690 steer -32752
3700 steer -32823
3720 steer -32895
3730 steer -32966
3740 steer -35092
3750 steer -33535
3760 steer -34815
3770 steer -35588
3780 steer -35881
3790 steer -36521
3800 steer -36948
3810 steer -37304
3820 steer -37375
3860 steer -37446
3870 steer -37659
3880 steer -39041
3890 steer -39721
3900 steer -41144
3910 steer -44628
3920 steer -50957
3930 steer -57286
3940 steer -65206
4110 steer -64262
4120 steer -65206
4180 steer -53588
4190 steer -23792
4200 steer 0
4460 steer 5498
4470 steer 0
4570 steer -26708
4580 steer -52593
4590 steer -65536
4600 steer -47615
4610 steer -3596
4620 steer 0
4690-5000 press down
4720 steer -12556
4730 steer -60202
4740 steer -58922
4750 steer 0
4780 steer 2603
4790 steer 0
4810 steer 4843
4820 steer 0
4860 steer 3112
4870 steer -18387
4880 steer -61553
5070 steer -56848
5080 steer -55188
5090 steer -64592
5100 steer -61553
5110 steer -57062
5120 steer -61553
5140 steer -64927
5150 steer -52764
5160 steer -63546
5170 steer -61553
5180 steer -58378
5190 steer -61553
5210 steer -58151
5220 steer -61553
5260 steer -56339
5270 steer -52269
5280 steer -62022
5290 steer -61553
5300 steer -52639
5310 steer -61980
5320 steer -63439
5330 steer -58005
5340 steer -64644
5350 steer -55335
5360 steer -57304
5370 steer -56291
5380 steer 25192
5390 steer 48239
5400 steer 61474
5410 steer 65536
5430 steer 65211
5440 steer 57280
5450 steer 65536
5460 steer 55807
5470 steer 50966
5480 steer 56667
