0-1440 press up
460 steer -680
480 steer -8076
490 steer -17178
510 steer -25143
520 steer -29694
540 steer -31401
570 steer -22299
580 steer -17178
590 steer -12058
600 steer -2956
610 steer 0
1070 steer 6591
1080 steer 12949
1090 steer 20461
1100 steer 28552
1110 steer 37221
1120 steer 50513
1130 steer 55713
1140 steer 59760
1150 steer 64382
1160 steer 65536
1230 steer 53980
1240 steer 41844
1250 steer 34330
1260 steer 25663
1270 steer 17572
1280 steer 10636
1290 steer 0
1510-1610 press down
1720-9000 press up
1960 steer -9783
1980 steer -22299
1990 steer -35952
2010 steer -45055
2020 steer -48468
2030 steer -50744
2040 steer -51313
2050 steer -46193
2070 steer -37659
2080 steer -31970
2090 steer -25712
2100 steer -13765
2110 steer -8645
2120 steer -4094
2130 steer 0
2720 steer -3525
2730 steer -8645
2740 steer -14903
2750 steer -22299
2760 steer -38228
2770 steer -50744
2790 steer -59278
2800 steer -64398
2820 steer -65536
2850 steer -57002
2860 steer -51313
2870 steer -43348
2880 steer -25143
2900 steer -2956
2910 steer 0
3150 steer 3125
3160 steer 10058
3180 steer 14105
3210 steer 6014
3230 steer 0
3850 steer -5800
3860 steer -8645
3870 steer -11489
3880 steer -14334
3890 steer -18885
3900 steer -21730
3930 steer -16610
3940 steer -12627
3950 steer -8645
3960 steer -1249
3980 steer 0
4160 steer -3525
4180 steer -12627
4190 steer -23436
4210 steer -31970
4220 steer -35383
4230 steer -37659
4240 steer -39935
4280 steer -35383
4290 steer -32539
4300 steer -30832
4320 steer -27988
4330 steer -24574
4350 steer -13765
4370 steer -5231
4380 steer -1249
4390 steer 0
4490 steer -3525
4500 steer -7507
4510 steer -12058
4520 steer -20592
4540 steer -27988
4550 steer -31401
4580 steer -24005
4590 steer -18885
4600 steer -13765
4610 steer -8645
4620 steer 0
5820 steer -6369
5830 steer -13196
5840 steer -21730
5850 steer -39935
5860 steer -47899
5870 steer -54726
5880 steer -64456
5890 steer -63260
5900 steer -65536
6000 steer 0
6200 steer -65536
6550 steer 65536
7650 steer -65536
8000 steer 0
8600-9020 press down
9310 steer -29694
9320 steer -64785
9610 steer -57002
9620 steer -38797
9630 steer -12058
9640 steer 0
9700 steer 9480
9710 steer 10124
9720 steer 33752
9730 steer 40688
9740 steer 35211
9750 steer 45310
9770 steer 36644
9780 steer 8325
9790 steer 0
9870 steer 1969
9880 steer 11216
9890 steer 19305
9900 steer 26819
9910 steer 31441
9920 steer 32597
9930 steer 32019
9940 steer 19883
9950 steer 0
10010 steer 4858
10020 steer 11216
10030 steer 13527
10040 steer 12949
10050 steer 13527
10060 steer 12949
10080 steer 7747
10090 steer 1391
10100 steer 0
10120 steer 814
10130 steer 10636
10140 steer 22772
10150 steer 27974
10160 steer 32597
10180-15660 press up
10190 steer 32019
10200 steer 23930
10210 steer 0
10310 steer -13765
10320 steer -32767
10330 steer -65536
10380 steer -63829
10390 steer -47331
10400 steer -22299
10410 steer 0
11170 steer 1391
11180 steer 4280
11190 steer 8903
11200 steer 11794
11210 steer 17572
11220 steer 21616
11230 steer 26819
11240 steer 29708
11250 steer 33175
11260 steer 36066
11270 steer 37799
11280 steer 40110
11290 steer 41844
11300 steer 44155
11310 steer 45888
11320 steer 47044
11380 steer 47624
11390 steer 47044
11430 steer 48202
11440 steer 48779
11490 steer 49357
11500 steer 51091
11510 steer 55135
11520 steer 59180
11530 steer 61493
11540 steer 64960
11550 steer 63804
11570 steer 60915
11580 steer 53402
11590 steer 49935
11630 steer 49357
11640 steer 49935
11660 steer 50513
11670 steer 53402
11680 steer 54557
11690 steer 55135
11700 steer 55713
11710 steer 55135
11730 steer 55713
11750 steer 55135
11760 steer 55713
11850 steer 49935
11860 steer 33752
11870 steer 8903
11880 steer 0
11910 steer -1249
11920 steer -14903
11930 steer -29126
11940 steer -42210
11950 steer -49037
11960 steer -50744
11990 steer -46762
12000 steer -43348
12010 steer -41073
12020 steer -38530
12030 steer -25851
12040 steer -26850
12050 steer -16041
12060 steer -4094
12070 steer 0
13600 steer 8903
13610 steer 23352
13620 steer 46466
13630 steer 56291
13640 steer 65536
13690 steer 1391
13700 steer 15261
13710 steer 26819
13720 steer 38377
13730 steer 47044
13740 steer 53980
13750 steer 59760
13760 steer 64382
13770 steer 64960
13780 steer 65536
13840-13920 press down
14080 steer 56291
14090 steer 28153
14100 steer 0
14150 steer 52824
14160 steer 35488
14170 steer 1391
14180 steer -7957
14350 steer -5800
14360 steer -15472
14370 steer -25143
14380 steer -34246
14390 steer -46193
14400 steer -50175
14410 steer -50744
14420 steer -50175
14430 steer -46762
14440 steer -34246
14450 steer -19812
14460 steer -4094
14470 steer 0
14500 steer -12627
14510 steer -33108
14520 steer -38444
14530 steer -50175
14550 steer -47331
14560 steer -22299
14570 steer 0
14630 steer 1391
14640 steer 814
14660 steer 0
