0-1380 press up
370 steer -141
390 steer -1326
400 steer -8985
420 steer 1085
440 steer -2742
560 steer 20042
570 steer -11859
580 steer 603
610 steer -5139
630 steer -3582
640 steer -6014
660 steer -4674
670 steer -10666
680 steer -11061
690 steer -6717
700 steer -1558
710 steer -8005
920 steer -16094
930 steer -19307
940 steer -5614
970 steer -7863
1000 steer -17360
1010 steer -3064
1020 steer -15183
1030 steer -8479
1040 steer -5175
1050 steer 0
1190 steer 2813
1200 steer 27117
1210 steer 27943
1220 steer 49665
1230 steer 63375
1240 steer 65536
1380-1600 press down
1490 steer 63478
1500 steer 27958
1510 steer 35254
1520 steer 18781
1530 steer -18675
1540 steer -42862
1550 steer -57787
1560 steer -65212
1600-6390 press up
1650 steer -61902
1660 steer -40836
1670 steer -4947
1680 steer -698
1910 steer -2371
1920 steer -15951
1930 steer -15194
1940 steer -35057
1950 steer -36776
1960 steer -45381
1970 steer -40642
1980 steer -57188
1990 steer -64516
2000 steer -58488
2010 steer -63813
2020 steer -63990
2030 steer -65447
2040 steer -49148
2050 steer -54312
2060 steer -63754
2070 steer -50788
2080 steer -51245
2090 steer -46439
2100 steer -24695
2110 steer -5308
2120 steer -32038
2130 steer 3695
2310 steer -16844
2320 steer 10825
2330 steer -6256
2340 steer 22821
2350 steer -15976
2360 steer 4845
2370 steer -1846
2380 steer 680
2390 steer -32211
2410 steer -9537
2420 steer 7100
2430 steer 21991
2440 steer -22334
2450 steer -4978
2590 steer 3179
2600 steer -6946
2610 steer 13504
2620 steer -2362
2630 steer 1185
2640 steer 3555
2650 steer -141
2660 steer 11122
2670 steer -54472
2680 steer 144
2690 steer -23595
2700 steer 12335
2830 steer -5784
2840 steer 17727
2850 steer -5139
2860 steer -3120
2870 steer 14780
2880 steer -2459
2890 steer 1197
2900 steer 1675
2910 steer 11438
2920 steer -1330
5030 steer -4924
5040 steer -1330
5280 steer -65536
5380 steer -64866
5390 steer -65536
5460 steer -7578
5470 steer 0
5740 steer -1605
5750 steer -19596
5760 steer -41855
5770 steer -50957
5780 steer -50815
5840 steer -61269
5850 steer -63829
5860 steer -61411
5920 steer -58282
5930 steer 0
5950 steer -19667
5960 steer -34957
5970 steer -31188
5980 steer 0
6000 steer -43135
6010 steer 0
6080 steer 27352
6090 steer 0
6190 steer 31334
6200 steer 65536
6300 steer 0
6400 steer -680
6410 steer -28201
6420 steer -65536
6430 steer -62859
6440 steer -65536
6450 steer 0
6460 steer -8585
6470 steer 0
6580-7190 press up
6620 steer 52740
6630 steer 65536
6760-6820 press down
6900 steer 58500
6910 steer 0
6990 steer -2220
7000 steer 0
