0-9160 press up
70 steer -894
80 steer -1676
90 steer -2387
100 steer -4023
110 steer -4734
120 steer -5374
130 steer -5871
150 steer -6369
190 steer -7649
200 steer -9072
210 steer -10849
220 steer -13765
230 steer -16041
240 steer -16752
250 steer -17178
260 steer -17250
270 steer -17321
290 steer -17392
760 steer -16467
770 steer -11632
780 steer -5231
790 steer -751
800 steer 0
1300 steer 3174
1310 steer 16827
1320 steer 29130
1330 steer 43068
1340 steer 59140
1350 steer 65536
1400 steer 62198
1410 steer 33255
1420 steer 18036
1430 steer 0
2380 steer -965
2440-2560 press down
2650 steer 0
3180 steer -2956
3190 steer -7009
3200 steer -13125
3210 steer -26210
3220 steer -36806
3230 steer -52095
3240 steer -60060
3250 steer -65536
3360 steer -49464
3370 steer -41855
3380 steer -19170
3390 steer -5516
3400 steer 0
3690 steer 39726
3700 steer 65536
3770 steer 1325
3780 steer 2036
3790 steer 49397
3800 steer 15832
3810 steer 0
3840 steer 1182
3850 steer 0
3950 steer -35455
3960 steer -58851
3970 steer -61624
3980 steer -10423
3990 steer 0
4050 steer -5445
4060 steer -63971
4070 steer -65536
4250 steer -64505
4260 steer -65536
4380 steer -62422
4390 steer -65536
4530 steer -2742
4540 steer -16894
4550 steer -30406
4560 steer -50815
4570 steer -61055
4580 steer -65536
4590 steer 0
4660 steer -65251
4670 steer -58780
4680 steer -43135
4690 steer -36592
4700 steer -17605
4710 steer -3098
4720 steer 0
4730 steer 30481
4740 steer 48971
4750 steer -8005
4760 steer -27774
4770 steer -41784
4780 steer -59064
4790 steer -65536
4800 steer 65536
4860 steer 60206
4870 steer 46339
4880 steer 15405
4890 steer 0
4900 steer -60558
4910 steer -52522
4920 steer -34743
4930 steer -22441
4940 steer -12556
4950 steer -4449
4960 steer -6014
4970 steer -12698
4980 steer -28699
4990 steer -47259
5000 steer -60415
5010 steer -65251
5020 steer -65536
5030 steer 65536
5060 steer -63189
5070 steer -49393
5080 steer -33179
5090 steer 0
5100 steer 12987
5110 steer 44917
5120 steer 59211
5130 steer 65536
5310 steer 62004
5320 steer 65536
5330 steer 59783
5340 steer 65536
5450 steer 57001
5460 steer 65536
5570 steer 63998
5580 steer 65536
5600 steer 59317
5610 steer 65536
5680 steer 57131
5690 steer 65536
5790 steer 65358
5800 steer 65536
5810 steer 61512
5820 steer 65536
5830 steer 64059
5840 steer 65536
6250 steer 62798
6260 steer 65536
6730 steer 60644
6740 steer 65536
6950 steer 55717
6960 steer 65536
7270 steer 53166
7280 steer 38872
7290 steer 15974
7300 steer 3671
7310 steer 0
7320 steer 65536
7590 steer 64402
7600 steer 30481
7610 steer 4809
7620 steer 0
7690 steer 8193
7700 steer 0
7770 steer -9783
7780 steer -19881
7790 steer -39508
7800 steer -51384
7810 steer -64042
7820 steer -65536
7830 steer 0
7940 steer -61624
7950 steer -40077
7960 steer -17463
7970 steer 0
8020 steer -9473
8030 steer 0
8080 steer -1462
8090 steer -2600
8100 steer -4734
8110 steer -7507
8120 steer -8503
8140 steer -8005
8150 steer -2885
8160 steer 0
8190 steer -6536
8200 steer 0
8280 steer -2174
8290 steer -8432
8300 steer -13978
8310 steer -18530
8320 steer -19027
8330 steer -19099
8350 steer -18530
8360 steer -14405
8370 steer -4663
8380 steer -965
8390 steer 0
8600 steer -965
8610 steer -1605
8620 steer -2102
8650 steer -1605
8660 steer 0
8900 steer -3951
8910 steer -9498
8920 steer -16041
8930 steer -21232
8940 steer -25570
8950 steer -37033
8960 steer -28130
8970 steer -18887
8980 steer -27917
8990 steer -34292
9000 steer -22014
9010 steer -19099
9020 steer -17676
9030 steer -15970
9040 steer -12556
9050 steer -6583
9060 steer -1178
9070 steer 0
