# Time: 22170, iterations: 113
0-5080 press up
21530 steer 53402
21540 steer 52824
21550 steer 38377
21560 steer 8903
21570 steer 0
21580 steer -22868
21590 steer -49606
21600 steer -63829
21610 steer -64967
21620 steer -64398
21640 steer -63829
21650 steer -30263
21660 steer 0
21670 steer 10636
21680 steer 16416
21690 steer 16994
21700 steer 0
21720 steer -10920
21730 steer -28557
21740 steer -38797
21750 steer -44486
21760 steer -65536
22180 steer -55864
22190 steer -42779
22200 steer -15472
22210 steer 0
