0-6960 press up
0 gas -65251
280 steer 1247
290 steer 1996
310 steer 2696
330 steer 3314
350 steer 3951
370 steer 4458
380 steer 4956
400 steer 5527
420 steer 6298
430 steer 7496
450 steer 8714
460 steer 9912
480 steer 11114
490 steer 12181
510 steer 13167
530 steer 14205
540 steer 15110
560 steer 16114
570 steer 17416
590 steer 18727
600 steer 19805
620 steer 20772
630 steer 21463
650 steer 21968
670 steer 22288
680 steer 22403
700 steer 22636
730 steer 22823
890 steer 22303
900 steer 21670
930 steer 20727
940 steer 19894
950 steer 19274
970 steer 18834
990 steer 18592
1010 steer 18421
1070 steer 18687
1090 steer 18870
1100 steer 19083
1120 steer 19256
1130 steer 19345
1150 steer 19601
1170 steer 19763
1180 steer 19987
1210 steer 20392
1220 steer 20570
1230 steer 21045
1240 steer 21394
1250 steer 21783
1260 steer 23314
1280 steer 26057
1290 steer 27312
1300 steer 28699
1310 steer 31939
1320 steer 34430
1330 steer 36710
1350 steer 42548
1370 steer 46559
1380 steer 48317
1390 steer 49833
1400 steer 52364
1410 steer 53782
1420 steer 55395
1430 steer 57746
1440 steer 58580
1450 steer 59246
1460 steer 59780
1470 steer 60233
1480 steer 60875
1490 steer 61284
1490 gas -56717
1510 steer 61560
1510 gas -26281
1520 steer 61658
1520 gas -12912
1530 gas -2102
1540 steer 61835
1540 gas 0
1560 steer 62231
1570 steer 62964
1590 steer 63695
1600 steer 63969
1620 steer 61947
1630 steer 59311
1640 steer 38148
1650 steer 36446
1660 steer 16245
1670 steer 14374
1680 steer 0
1710 steer -9400
1730 steer -14814
1740 steer -33828
1760 steer -38148
1760 gas -11489
1770 steer -54777
1770 gas -23721
1780 steer -55895
1780 gas -37944
1790 steer -59151
1790 gas -65251
1800 steer -60366
1810 steer -61338
1820 steer -62764
1840 steer -65536
2340 steer -62060
2350 steer -38899
2370 steer -13194
2390 steer 0
2420 steer 10734
2440 steer 31850
2450 steer 35370
2470 steer 52117
2490 steer 55193
2500 steer 58095
2510 steer 59898
2530 steer 61042
2540 steer 61284
2560 steer 57460
2580 steer 36501
2600 steer 16145
2620 steer 0
2630 steer -3574
2650 steer -7620
2660 steer -27639
2680 steer -47808
2700 steer -51466
2710 steer -55811
2730 steer -58606
2740 steer -60371
2760 steer -61664
2780 steer -62435
2790 steer -63229
2810 steer -63769
2820 steer -64111
2840 steer -64211
2850 steer -60893
2870 steer -39219
2890 steer -18570
2910 steer 0
2960 steer 4438
2980 steer 22110
3000 steer 23419
3010 steer 26328
3030 steer 28405
3040 steer 29779
3060 steer 30617
3070 steer 29170
3090 steer 7660
3110 steer 3771
3120 steer 0
3140 steer -2796
3150 steer -5996
3170 steer -10314
3180 steer -15907
3210 steer -31768
3220 steer -34379
3230 steer -38339
3250 steer -43528
3270 steer -47537
3290 steer -50106
3310 steer -51724
3320 steer -52600
3340 steer -52051
3350 steer -49751
3370 steer -46075
3380 steer -27157
3400 steer -23476
3420 steer -3647
3430 steer -1671
3450 steer 0
3560 steer -1634
3570 steer -4949
3590 steer -8083
3600 steer -10229
3620 steer -11583
3630 steer -12414
3650 steer -11272
3670 steer -7632
3680 steer -2540
3700 steer 0
3710 steer 3729
3730 steer 6196
3740 steer 9734
3760 steer 14134
3780 steer 17378
3810 steer 20825
3820 steer 19663
3840 steer 15778
3860 steer 0
4130 steer 1156
4140 steer 1960
4150 steer 2756
4160 steer 3738
4170 steer 6547
4180 steer 8023
4190 steer 9698
4200 steer 13947
4210 steer 15798
4220 steer 18376
4230 steer 23432
4240 steer 25801
4250 steer 27874
4260 steer 30232
4270 steer 32928
4280 steer 35248
4290 steer 38539
4300 steer 39697
4310 steer 40581
4320 steer 40495
4330 steer 39986
4340 steer 36844
4350 steer 34059
4360 steer 15576
4370 steer 12747
4380 steer 7418
4400 steer 0
4470 steer -669
4480 steer -1885
4490 steer -2316
4500 steer -2660
4510 steer -3156
4530 steer -3471
4540 steer -3571
4560 steer -3714
4570 steer -3818
4630 steer -1720
4650 steer 0
4850 steer 825
4870 steer 4489
4890 steer 8083
4900 steer 11256
4920 steer 13887
4930 steer 15898
4950 steer 17278
4970 steer 18199
4980 steer 18761
5000 steer 18230
5010 steer 16358
5040 steer 8060
5060 steer 4076
5080 steer 1249
5100 steer 0
5200 steer 1331
5210 steer 2116
5220 steer 2798
5230 steer 4626
5240 steer 4240
5250 steer 5323
5260 steer 8020
5280 steer 11007
5290 steer 14445
5310 steer 16854
5320 steer 18374
5340 steer 18941
5350 steer 19721
5360 steer 19992
5370 steer 19634
5390 steer 18205
5400 steer 15918
5420 steer 12563
5430 steer 8814
5450 steer 4789
5460 steer 2989
5470 steer 4660
5480 steer 0
6140-6330 press right
6210-6290 press down
6330-6350 press left
6410-6430 press right
6570-6750 press right
6660-6720 press down
6760-6960 press left
