0-7340 press up
130 steer 2960
140 steer 7583
150 steer 9574
160 steer 10143
170 steer 10854
180 steer 11849
190 steer 12418
200 steer 12489
210 steer 12632
220 steer 12703
230 steer 12845
240 steer 12916
260 steer 12987
270 steer 13058
300 steer 12987
360 steer 12916
370 steer 12987
380 steer 12916
480 steer 12987
490 steer 13058
530 steer 12987
570 steer 13058
580 steer 12987
620 steer 12916
630 steer 12987
640 steer 13129
650 steer 13201
660 steer 13272
670 steer 13414
680 steer 13485
690 steer 13841
700 steer 14552
710 steer 15192
720 steer 15405
740 steer 15476
780 steer 15547
800 steer 15476
820 steer 15547
840 steer 15618
850 steer 15690
860 steer 15761
880 steer 15832
890 steer 15903
900 steer 16045
910 steer 16116
930 steer 16685
940 steer 18392
950 steer 19956
960 steer 20454
970 steer 20525
980 steer 20596
1000 steer 20525
1040 steer 20596
1050 steer 20525
1120 steer 20596
1150 steer 20525
1160 steer 20596
1170 steer 20525
1190 steer 20596
1200 steer 20525
1260 steer 19601
1270 steer 10000
1280 steer 2320
1290 steer 0
1490 steer -1036
1500 steer -1605
1510 steer -2742
1520 steer -5943
1530 steer -10636
1540 steer -13694
1550 steer -15258
1560 steer -15330
1570 steer -15258
1580 steer -14121
1590 steer -8716
1600 steer -3525
1610 steer 0
1690 steer -1320
1700 steer -2529
1710 steer -3738
1720 steer -6156
1730 steer -7151
1740 steer -7507
1750 steer -7578
1760 steer -7649
1770 steer -10209
1780 steer -14974
1790 steer -17392
1800 steer -18103
1810 steer -18245
1820 steer -18316
1910 steer -18387
1920 steer -18459
1930 steer -18530
2040 steer -18601
2070 steer -18459
2080 steer -15472
2090 steer -7863
2100 steer 0
2440 steer -1036
2450 steer -3951
2460 steer -10778
2470 steer -20947
2480 steer -31117
2490 steer -43917
2500 steer -53517
2510 steer -56646
2520 steer -57286
2530 steer -56077
2540 steer -53304
2550 steer -51100
2560 steer -50886
2570 steer -52308
2580 steer -58993
2590 steer -65536
2620 steer -34815
2630 steer 0
2700 steer 6658
2710 steer 38588
2720 steer 51815
2730 steer 61913
2740 steer 59353
2750 steer 38872
2760 steer 9360
2770 steer 0
2860 steer 2605
2870 steer 3671
2880 steer 8507
2890 steer 15263
2900 steer 12916
2910 steer 2747
2920 steer 0
3300 steer -4094
3310 steer -17392
3320 steer -29766
3330 steer -21161
3340 steer -3382
3350 steer 0
3820 steer 9147
3830 steer 33255
3840 steer 42641
3850 steer 37095
3860 steer 5876
3870 steer 0
3990 steer -5587
4000 steer -23081
4010 steer -45339
4020 steer -28841
4030 steer -5587
4040 steer 0
5110-5170 press down
5820 steer 1111
5830 steer 11565
5840 steer 19885
5850 steer 26072
5860 steer 21307
5870 steer 4098
5880 steer 0
5970 steer -3951
5980 steer -18956
5990 steer -38370
6000 steer -33108
6010 steer -8360
6020 steer 0
6350 steer -2245
6360 steer -7151
6370 steer -16894
6380 steer -26992
6390 steer -40859
6400 steer -53162
6410 steer -61482
6420 steer -65536
6510 steer -48682
6520 steer -13978
6530 steer 0
6600 steer -413
6610 steer 0
6740 steer -894
6770 steer 0
6980 steer 8957
6990 steer 0
7090 steer 10000
7100 steer 24365
7110 steer 40579
7120 steer 59353
7130 steer 65536
7220 steer 63264
7230 steer 34819
7240 steer 0
7250 steer -1960
7260 steer -10138
7270 steer -17250
7280 steer -22370
7290 steer -28699
7290-7370 press down
7300 steer -15330
7310 steer 0
7360-9530 press up
7740 steer -6922
7750 steer 0
