0-21240 press up
680 steer -965
690 steer -549
710 steer -1960
770 steer -1391
790 steer -822
1100 steer 0
1470 steer -751
1480 steer -1320
1490 steer -1960
1510 steer -2458
1710 steer -3098
1720 steer -4236
1730 steer -4734
1750 steer -5303
2390 steer -2814
2400 steer -1391
2410 steer 0
2800 steer -965
2810 steer 0
3330 steer 1751
3340 steer 8578
3350 steer 33681
3360 steer 44562
3370 steer 57931
3380 steer 61131
3390 steer 65536
3520 steer 56172
3530 steer 39441
3540 steer 24934
3550 steer 6729
3560 steer 0
3830 steer -6227
3840 steer -16823
3850 steer -37801
3870 steer -65536
4590 steer -48184
4600 steer -33819
4610 steer -19739
4620 steer -8289
4630 steer 0
4660 press enter
5230 steer 1111
5240 steer 2391
5250 steer 2960
5260 steer 3458
5270 steer 3956
5310 steer 4454
5400 steer 4951
5420 steer 5947
5430 steer 6871
5440 steer 7867
5450 steer 9929
5460 steer 10143
5480 steer 10214
5510 steer 10285
5570 steer 10214
5620 steer 10000
5630 steer 8649
5640 steer 6943
5650 steer 5520
5660 steer 4098
5670 steer 3031
5680 steer 1467
5690 steer 898
5710 steer 0
6120 steer -3382
6130 steer -8574
6140 steer -15330
6150 steer -22595
6160 steer -34886
6170 steer -41499
6200 steer -20236
6210 steer -8787
6220 steer 0
6470 steer -1960
6480 steer -5800
6490 steer -9783
6500 steer -14405
6510 steer -23090
6520 steer -17250
6530 steer -16396
6540 steer -9783
6550 steer -3454
6560 steer 0
6770 steer -2316
6780 steer -13125
6790 steer -21303
6800 steer -34752
6810 steer -43704
6820 steer -54228
6830 steer -60858
6840 steer -62122
6850 steer -56646
6860 steer -29410
6870 steer -15543
6880 steer -1960
6890 steer 0
7050 steer -1178
7060 steer -9356
7070 steer -15898
7090 steer -21303
7100 steer -29815
7110 steer -24716
7120 steer -10825
7130 steer -15685
7140 steer -6583
7150 steer 0
7400 steer 2391
7410 steer 8934
7420 steer 21734
7430 steer 31477
7440 steer 50891
7450 steer 55157
7460 steer 61842
7470 steer 65536
7510 steer 60633
7520 steer 33397
7530 steer 17894
7540 steer 4667
7550 steer 0
7650 steer -9217
7660 steer -10209
7670 steer -13836
7680 steer -31259
7690 steer -41713
7700 steer -56149
7710 steer -63189
7720 steer -65536
8190 steer -62904
8200 steer -49393
8210 steer -28343
8220 steer -21730
8230 steer -5800
8240 steer -4277
9710 press enter
9710 steer 0
10140 steer -65536
10690 steer -1818
10700 steer -9925
10720 steer -24930
10730 steer -41997
10750 steer -53233
10760 steer -62335
10770 steer -65536
11220 steer -42993
11230 steer -20521
11240 steer -8076
11250 steer 0
11370 steer -6227
11380 steer -14405
11390 steer -30050
11400 steer -46619
11420 steer -55580
11430 steer -64895
11440 steer -65536
11790 steer -56717
11800 steer -33606
11810 steer -12474
11820 steer -1422
12180 steer 7512
12190 steer 15547
12200 steer 24792
12210 steer 40579
12220 steer 53945
12230 steer 60601
12240 steer 65536
12280 steer 61344
12290 steer 36635
12310 steer 18107
12320 steer 2249
12330 steer 2243
12450 steer 1135
12460 steer -7578
12470 steer -19156
12480 steer -31046
12490 steer -47562
12500 steer -53802
12510 steer -62833
12520 steer -65536
12940 steer -60771
12950 steer -52593
12960 steer -33392
12970 steer -20023
12980 steer -4449
12990 steer 0
14340 steer -14121
14350 steer -24219
14360 steer -41286
14370 steer -47188
14380 steer -43490
14390 steer -35952
14400 steer -33748
14410 steer -36237
14420 steer -41784
14430 steer -50815
14440 steer -59420
14450 steer -61838
14460 steer -65536
14680 steer -64682
14690 steer -54869
14700 steer -45695
14710 steer -31330
14720 steer -18387
14730 steer -11489
14740 steer -6156
14750 steer -1676
14760 steer 0
14820 press enter
15250 steer 65536
16430 steer 0
16830 steer 969
16840 steer 36057
16850 steer 58002
16860 steer 65536
16960 steer 35601
16970 steer 11565
16980 steer 0
17090 steer 5165
17100 steer 21521
17110 steer 42855
17120 steer 49934
17130 steer 48188
17140 steer 30623
17150 steer 7938
17160 steer 0
17230 steer 1965
17240 steer 2534
17250 steer 0
17370 steer 15263
17380 steer 35388
17390 steer 41706
17400 steer 39621
17410 steer 23583
17420 steer 3316
17430 steer 0
17620 steer 7014
17630 steer 29628
17640 steer 33895
17650 steer 20952
17660 steer 5734
17670 steer 0
18120 steer 10427
18130 steer 34890
18140 steer 58713
18150 steer 65536
18180 steer 45557
18190 steer 24365
18200 steer 0
18250 steer 5023
18260 steer 39086
18270 steer 65536
18300 steer 58581
18310 steer 43708
18320 steer 10427
18330 steer -2535
19140 steer 1894
19150 steer 21734
19160 steer 41361
19170 steer 59282
19180 steer 65536
19220 steer 63264
19230 steer 36099
19240 steer 1396
19250 steer -3086
19310 steer 17894
19320 steer 33384
19330 steer 48931
19340 steer 65536
19520 steer 9289
19530 steer 23939
19540 steer 40081
19550 steer 55371
19560 steer 64402
19570 steer 65536
19620 steer 51886
19630 steer 32046
19640 steer 102
19780 steer 9503
19790 steer 28988
19800 steer 55157
19810 steer 65536
