0-109000 press up
1210 steer 1254
1220 steer 2391
1230 steer 3102
1240 steer 3743
1440 steer 4240
1450 steer 4809
1460 steer 6943
1470 steer 7583
1480 steer 9858
1490 steer 11636
1500 steer 12347
1510 steer 12916
1520 steer 13058
1530 steer 13129
1540 steer 13058
1560 steer 13129
1610 steer 13058
1620 steer 13129
1720 steer 13201
1730 steer 13272
1760 steer 13343
1790 steer 13485
1800 steer 13983
1810 steer 15547
1820 steer 17538
1830 steer 18250
1840 steer 20099
1850 steer 20952
1860 steer 21948
1870 steer 22588
1880 steer 22872
1950 steer 22943
1980 steer 22872
2000 steer 22943
2010 steer 22872
2020 steer 22943
2030 steer 22872
2080 steer 22943
2170 steer 23156
2180 steer 23796
2190 steer 24294
2200 steer 25005
2210 steer 25432
2220 steer 25645
2230 steer 25930
2240 steer 26143
2250 steer 26285
2260 steer 26712
2270 steer 26997
2280 steer 27281
2290 steer 27850
2300 steer 28419
2310 steer 28988
2320 steer 30197
2330 steer 30623
2340 steer 30979
2350 steer 32046
2360 steer 32757
2370 steer 33966
2380 steer 34819
2390 steer 35103
2400 steer 36312
2410 steer 36384
2420 steer 36668
2430 steer 36881
2440 steer 37877
2450 steer 39370
2460 steer 41930
2470 steer 49468
2480 steer 54660
2490 steer 59922
2500 steer 65536
2970 steer 64260
2980 steer 57006
2990 steer 46979
3000 steer -8332
3010 steer 9503
3020 steer 898
3030 steer 0
3190 steer -751
3200 steer -13267
3210 steer -19962
3220 steer -24148
3230 steer -36095
3240 steer -44344
3250 steer -55722
3260 steer -61695
3270 steer -65536
3340 steer -65393
3350 steer -58282
3360 steer -46762
3370 steer -32681
3380 steer -19099
3390 steer -3809
3400 steer 0
3530 steer 2747
3540 steer 8507
3550 steer 11707
3560 steer 21107
3570 steer 33183
3580 steer 35601
3590 steer 40295
3600 steer 49397
3610 steer 54162
3620 steer 59140
3630 steer 63335
3640 steer 65536
3670 steer -11671
3680 steer 65536
3780 steer 23759
3790 steer 65536
3900 steer -13904
3910 steer 65536
3940 steer 25236
3950 steer 65536
4020 steer 58500
4030 steer 47264
4040 steer 25290
4050 steer -8140
4060 steer 0
4200 steer -1036
4210 steer -12129
4220 steer -33748
4230 steer -35168
4240 steer -55153
4250 steer -62122
4260 steer -65536
4330 steer -63829
4340 steer -57855
4350 steer -49606
4360 steer -27628
4370 steer -14476
4380 steer -64789
4390 steer -2245
4400 steer 0
4410 steer 19406
4420 steer 0
4460 steer 31942
4470 steer 0
4490 steer -61972
4500 steer 0
4550 steer -46788
4560 steer -45525
4570 steer 0
4600 steer -8855
4610 steer 0
4680 steer 63079
4690 steer 7033
4700 steer -1605
4710 steer -11418
4720 steer -21303
4730 steer 28927
4740 steer -51100
4750 steer -9193
4760 steer -59562
4770 steer -59633
4820 steer -59135
4830 steer -55580
4840 steer -22890
4850 steer -28272
4860 steer -15756
4870 steer -5018
4880 steer 0
4940 steer 2960
4950 steer 39723
4960 steer 28134
4970 steer 41717
4980 steer 53522
4990 steer 65536
5010 steer 47593
5020 steer 65536
5070 steer 34679
5080 steer 65536
5110 steer 29118
5120 steer 65536
5130 steer 7477
5140 steer 16044
5150 steer 47050
5160 steer 28774
5170 steer 6729
5180 steer -16427
5190 steer -11543
5200 steer -60273
5210 steer -64255
5220 steer -39480
5230 steer -52254
5240 steer -65536
5250 steer -52164
5260 steer 7780
5270 steer -65536
5280 steer -14387
5290 steer -65536
5310 steer -60360
5320 steer -5666
5330 steer -65536
5380 steer -32637
5390 steer 7115
5400 steer -65536
5470 steer -4809
5480 steer -7856
5490 steer -63280
5500 steer -30512
5510 steer -65536
5530 steer -50831
5540 steer -65536
5570 steer -7228
5580 steer -65536
5630 steer -59694
5640 steer -16902
5650 steer -65536
5660 steer -53800
5670 steer -60022
5680 steer -37784
5690 steer 31941
5700 steer -24646
5710 steer 19806
5720 steer -3374
5730 steer -64885
5740 steer -38748
5750 steer -33498
5760 steer 12085
5770 steer -59360
5780 steer -63189
5790 steer -54523
5800 steer -23223
5810 steer 0
5820 steer 43824
5830 steer 5734
5840 steer 35834
5850 steer -72
5860 steer 52368
5870 steer 65536
5880 steer 4789
5890 steer -27765
5900 steer 10351
5910 steer -6146
5920 steer -42488
5930 steer -11829
5940 steer -19207
5950 steer -31917
5960 steer -65536
5970 steer 31558
5980 steer 35298
5990 steer 65536
6000 steer -5133
6010 steer 34449
6020 steer 21248
6030 steer -49419
6040 steer 65536
6120 steer -64358
6130 steer 65536
6150 steer 43979
6160 steer 53573
6170 steer -61691
6180 steer 21648
6190 steer 5874
6200 steer -45446
6210 steer -43139
6220 steer -49874
6230 steer 64999
6240 steer 3080
6250 steer -39964
6260 steer 65536
6270 steer 43930
6280 steer -6859
6290 steer 65536
6310 steer 34706
6320 steer -6658
6330 steer -40066
6340 steer -43037
6350 steer 47046
6360 steer -65536
6370 steer 65536
6420 steer 3264
6430 steer 27487
6440 steer 65536
6450 steer -47145
6460 steer 53786
6470 steer 65536
6480 steer 8578
6490 steer 39712
6500 steer 65536
6540 steer -1724
6550 steer 65536
6560 steer 37773
6570 steer 65536
6580 steer 30798
6590 steer 8075
6600 steer 65536
6610 steer 5528
6620 steer 61535
6630 steer 14882
6640 steer 5814
6650 steer -38345
6660 steer 0
6670 steer 1229
6680 steer 32948
6690 steer 57026
6700 steer 65536
6710 steer 2442
6720 steer 37944
6730 steer 2843
6740 steer 0
6760 steer -5516
6770 steer 27861
6780 steer -9640
6790 steer -16559
6800 steer 60882
6810 steer 48806
6820 steer 37457
6830 steer 17816
6840 steer 16578
6850 steer 23054
6860 steer 40948
6870 steer 65536
6880 steer 2528
6890 steer 14940
6900 steer 6519
6910 steer -16559
6920 steer 63401
6930 steer -53475
6940 steer -16559
6990 steer 53897
7000 steer 43568
7010 steer 35566
7020 steer 33675
7040 steer 1265
7050 steer 65536
7080 steer 62904
7090 steer -16559
7120 steer -30055
7130 steer -16559
7160 steer 64009
7170 steer 52588
7180 steer 39057
7180-7270 press down
7190 steer 20143
7200 steer 20216
7210 steer 28728
7220 steer 62464
7230 steer 65536
7250 steer 4234
7260 steer 65536
7320 steer -14342
7330 steer 11922
7340 steer -16559
7340-7440 press down
7350 steer -486
7360 steer 55821
7370 steer 49168
7380 steer -16559
7390 steer 50406
7400 steer 60080
7410 steer 65536
7420 steer -32241
7430 steer -11829
7440 steer -34890
7450 steer -36530
7490 steer -36684
7500 steer -37504
7510 steer -38784
7520 steer 1456
7530 steer -39092
7540 steer 59644
7550 steer 44171
7560 steer 53606
7570 steer 54406
7580 steer 13152
7590 steer 31683
7600 steer 7668
7610 steer 65536
7620 steer 14950
7630 steer -38272
7640 steer -37657
7650 steer -36888
7660 steer -51055
7670 steer -33403
7680 steer -30943
7690 steer -27817
7700 steer -22232
7710 steer -19259
7720 steer -31259
7730 steer -2820
7740 steer -12854
7750 steer -12136
7760 steer -46060
7770 steer 39979
7780 steer -11625
7820 steer -40348
7830 steer -15759
7840 steer -11625
7850 steer -52567
7860 steer -11521
7870 steer -11061
7880 steer -10958
7890 steer -25287
7900 steer -35185
7910 steer -10958
7940 steer -34903
7950 steer -41442
7960 steer -10958
7970 steer 13220
7980 steer -10958
8000 steer 21816
8010 steer 14669
8020 steer 61973
8030 steer -2828
8040 steer 65536
8050 steer 31123
8060 steer 40550
8070 steer 65536
8090 steer 42596
8100 steer 11843
8110 steer 65536
8120 steer 21231
8130 steer 15294
8140 steer 44038
8150 steer 65536
8170 steer 11328
8180 steer -5338
8190 steer 14476
8200 steer 11625
8210 steer 0
8220 steer -62409
8230 steer -370
8240 steer -28559
8250 steer -56943
8260 steer -42717
8270 steer 10539
8280 steer -6037
8290 steer 16891
8300 steer -62823
8310 steer -17620
8320 steer 2240
8330 steer -7874
8340 steer -60960
8350 steer -10958
8360 steer -27205
8370 steer -10958
8390 steer -26526
8400 steer -10958
8420 steer -54732
8430 steer 6952
8440 steer -10958
8480 steer -13889
8490 steer -34909
8500 steer -10958
8510 steer 18557
8520 steer 55157
8530 steer -50432
8540 steer 11692
8550 steer -6480
8560 steer -10958
8570 steer 33824
8580 steer -10958
8590 steer 26858
8600 steer 9514
8610 steer -33458
8620 steer -23391
8630 steer -57720
8640 steer -10958
8650 steer 27770
8660 steer 57129
8670 steer -33031
8680 steer -25067
8690 steer -53182
8700 steer -10958
8710 steer 51893
8720 steer 41117
8730 steer 46315
8740 steer -8315
8750 steer 44950
8760 steer 8348
8770 steer 36372
8780 steer 14059
8790 steer -56431
8800 steer 0
8810 steer -8396
8820 steer -56702
8830 steer -36316
8840 steer -26383
8850 steer -31559
8860 steer -26660
8870 steer 10714
8880 steer -15915
8890 steer -3700
8900 steer 28114
8910 steer -46062
8920 steer 11216
8930 steer -38396
8940 steer 60293
8950 steer 44757
8960 steer -6756
8970 steer -34741
8980 steer -6117
8990 steer 14562
9000 steer 3547
9010 steer 59500
9020 steer 17528
9030 steer -39274
9040 steer 53987
9050 steer 21018
9060 steer 43177
9070 steer -35545
9080 steer 40338
9090 steer 56971
9100 steer 6648
9110 steer -62475
9120 steer -62358
9130 steer -46899
9140 steer -61058
9150 steer -56320
9160 steer -10658
9170 steer -62358
9180 steer 37247
9190 steer -37442
9200 steer -62460
9210 steer -3824
9220 steer 44155
9230 steer 40587
9240 steer -56716
9250 steer -12874
9260 steer -29916
9270 steer 4308
9280 steer 0
9290 steer 42302
9300 steer -10405
9310 steer 20622
9320 steer -64295
9330 steer 6580
9340 steer -45804
9350 steer 52962
9360 steer -43214
9370 steer 44117
9380 steer -63181
9390 steer -58548
9400 steer -35354
9410 steer -8094
9420 steer -63947
9430 steer 42430
9440 steer -56578
9450 steer -6719
9460 steer -27163
9470 steer -51811
9480 steer -865
9490 steer -62176
9500 steer -35266
9510 steer 37162
9520 steer -65227
9540 steer -65431
9550 steer -56822
9560 steer -43133
9570 steer 56772
9580 steer 51623
9590 steer -61515
9600 steer 27419
9610 steer -2204
9620 steer 41872
9630 steer 6029
9640 steer 58684
9650 steer 65536
9680 steer 2625
9690 steer -58926
9700 steer -34221
9710 steer -41865
9720 steer 54716
9730 steer 17193
9740 steer 50179
9750 steer 19101
9760 steer -41580
9770 steer 6759
9780 steer 1337
9790 steer 11559
9800 steer -38320
9810 steer -63861
9820 steer 24472
9830 steer -26698
9840 steer -58779
9850 steer -30404
9860 steer 22034
9870 steer 38330
9880 steer 17677
9890 steer 65285
9900 steer -42609
9910 steer -61353
9920 steer -63273
9930 steer -10124
9940 steer -64049
9950 steer -33751
9960 steer -38814
9970 steer -54098
9980 steer 27440
9990 steer -64049
10000 steer -3600
10010 steer -64049
10020 steer -34965
10030 steer -25746
10040 steer -47439
10050 steer 4720
10060 steer -35914
10070 steer -33958
10080 steer -21507
10090 steer -20854
10100 steer -64049
10110 steer -6054
10120 steer -8802
10130 steer -50261
10140 steer -43628
10150 steer 11982
10160 steer -61216
10170 steer -64049
10190 steer 8793
10200 steer -46678
10210 steer -64049
10220 steer -49010
10230 steer 40863
10240 steer -24009
10250 steer -14304
10260 steer -62037
10270 steer -64049
10290 steer -61170
10300 steer -10102
10310 steer -64049
10320 steer -18540
10330 steer -3001
10340 steer -64049
10390 steer -58628
10400 steer -64049
10410 steer -39293
10420 steer -64049
10430 steer -39624
10440 steer -64488
10450 steer 45827
10460 steer -64049
10470 steer -37184
10480 steer -63646
10490 steer -40696
10500 steer -64049
10510 steer -46513
10520 steer -64049
10530 steer -5682
10540 steer -13362
10550 steer -64049
10560 steer -51056
10570 steer -64049
10580 steer 23438
10590 steer -35661
10600 steer -23614
10610 steer -63647
10620 steer -20559
10630 steer -47625
10640 steer -7714
10650 steer 1114
10660 steer -7924
10670 steer 12991
10680 steer -55382
10690 steer -49993
10700 steer -58302
10710 steer -54745
10720 steer -13268
10730 steer -64049
10750 steer -49895
10760 steer -64049
10770 steer 9388
10780 steer -49796
10790 steer -64049
10800 steer -12584
10810 steer -28047
10820 steer -64049
10830 steer -36095
10840 steer -5449
10850 steer 41492
10860 steer -64049
10870 steer -21418
10880 steer 34148
10890 steer 2310

0 set speed 50
0 set draw_game false
9500 set speed 1
9500 set draw_game true
