0-9350 press up
350 steer 3743
360 steer 9076
370 steer 11138
380 steer 12347
390 steer 12703
410 steer 12774
500 steer 12703
540 steer 12774
560 steer 12703
640 steer 12774
750 steer 12703
760 steer 12347
770 steer 10569
780 steer 1965
790 steer 0
1000 steer -1960
1010 steer -5374
1020 steer -10067
1030 steer -14192
1040 steer -16112
1050 steer -16538
1070 steer -16610
1090 steer -16538
1110 steer -16610
1120 steer -16538
1140 steer -16681
1150 steer -17178
1160 steer -20379
1170 steer -25854
1180 steer -29908
1190 steer -32823
1200 steer -35028
1210 steer -36450
1220 steer -38015
1230 steer -41215
1240 steer -44699
1250 steer -48042
1260 steer -54086
1270 steer -59064
1280 steer -63402
1290 steer -65536
1470 steer -60344
1480 steer -27703
1490 steer -2245
1500 steer 0
1550 steer -14547
1560 steer -27205
1570 steer -39437
1580 steer -43206
1590 steer -30548
1600 steer -6867
1610 steer -2542
1830 steer -5800
1840 steer -15116
1850 steer -24503
1860 steer -28770
1870 steer -29268
1880 steer -29481
1890 steer -31330
1900 steer -37019
1910 steer -44202
1920 steer -52948
1930 steer -62478
1940 steer -65536
1950 steer -9072
1960 steer -21019
1970 steer -31686
1980 steer -36664
1990 steer -39437
2000 steer -46559
2010 steer -36846
2020 steer -40077
2050 steer -40006
2090 steer -38090
2100 steer -40006
2340 steer -30212
2350 steer -42295
2360 steer -26565
2370 steer 12415
2380 steer 0
2510 steer -5697
2520 steer -24671
2530 steer -31008
2540 steer -29493
2550 steer -27302
2560 steer -33663
2640 steer -20845
2710 steer -28405
2720 steer -14828
2730 steer -24268
2740 steer -31614
2750 steer -34103
2760 steer -35028
2790 steer -35597
2800 steer -37872
2810 steer -32697
2820 steer -40733
2830 steer -41001
2840 steer -40930
2890 steer -46926
2900 steer -49885
2910 steer -47716
2920 steer -63101
2930 steer -65536
3500 steer -52166
3510 steer -23436
3520 steer 14921
3580 steer 27040
3590 steer 35786
3600 steer 65536
3970 steer 2612
3980 steer 25108
3990 steer 31619
4000 steer 34179
4010 steer 34819
4020 steer 24081
4030 steer 4880
4040 steer 0
4100 steer 46675
4110 steer 22300
4120 steer 10036
4130 steer 14507
4140 steer 19542
4150 steer 28277
4160 steer 31864
4170 steer 34463
4180 steer 27924
4190 steer 5434
4200 steer -1202
4270 steer 1894
4280 steer 13201
4290 steer 16970
4300 steer 18534
4310 steer 16472
4320 steer 9402
4330 steer 4027
4340 steer 1396
4350 steer 2391
4360 steer 24294
4370 steer 46418
4380 steer 65438
4570 steer 59922
4580 steer 46654
4590 steer 24579
4600 steer 2711
4660 steer -7151
4670 steer -17283
4680 steer -45624
4690 steer -63971
4700 steer -65536
4720 steer -63260
4730 steer -32397
4740 steer 0
5280 steer 7014
5290 steer 34463
5300 steer 54233
5310 steer 60562
5320 steer 62411
5340 steer 60918
5350 steer 49255
5360 steer 25148
5370 steer -2208
5650-5730 press down
6640 steer -19834
6650 steer -20165
6660 steer -24658
6670 steer -40602
6680 steer -24961
6690 steer -29268
6700 steer -22583
6710 steer -11703
6720 steer -4378
6730 steer 0
6900 steer -7210
6910 steer -15670
6920 steer -13694
6930 steer -16325
6940 steer -16183
6950 steer -11370
6960 steer -7436
6970 steer -7991
6980 steer -6309
7420 steer -4507
7430 steer -10849
7440 steer -18850
7450 steer -22315
7460 steer -32752
7470 steer -35661
7480 steer -42281
7490 steer -45659
7500 steer -42708
7510 steer -37154
7520 steer -38773
7530 steer -19176
7540 steer -16467
7550 steer 2267
7560 steer 0
7750 steer -18664
7760 steer 11494
7770 steer 7362
7780 steer 13171
7790 steer 25543
7800 steer 37835
7810 steer 35168
7820 steer 52993
7830 steer 64005
7840 steer 37977
7850 steer 29969
7860 steer 29427
7870 steer 10061
7880 steer -18233
8080-8140 press down
8640-8750 press down
9080 steer 1576
9090 steer -11042
9100 steer -14942
9110 steer -38256
9120 steer -40740
9130 steer -37289
9140 steer -56305
9150 steer -62164
9160 steer -64714
9170 steer -64824
9180 steer -64995
9190 steer -65424
